User country;Nr. reviews;Nr. hotel reviews;Helpful votes;Score;Period of stay;Traveler type;Pool;Gym;Tennis court;Spa;Casino;Free internet;Hotel name;Hotel stars;Nr. rooms;User continent;Member years;Review month;Review weekday
USA;11;4;13;5;Dec-Feb;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;9;January;Thursday
USA;119;21;75;3;Dec-Feb;Business;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;3;January;Friday
USA;36;9;25;5;Mar-May;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;2;February;Saturday
UK;14;7;14;4;Mar-May;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Europe;6;February;Friday
Canada;5;5;2;4;Mar-May;Solo;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;7;March;Tuesday
Canada;31;8;27;3;Mar-May;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;2;March;Tuesday
UK;45;12;46;4;Mar-May;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Europe;4;April;Friday
USA;2;1;4;4;Mar-May;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;0;April;Tuesday
India;24;3;8;4;Mar-May;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Asia;3;May;Saturday
Canada;12;7;11;3;Mar-May;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;5;May;Tuesday
USA;102;24;58;2;Jun-Aug;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;9;June;Friday
Australia;20;9;24;3;Jun-Aug;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Oceania;4;June;Saturday
USA;7;6;9;2;Jun-Aug;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;1;July;Wednesday
USA;22;5;13;3;Jun-Aug;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;1;July;Thursday
UK;3;3;0;3;Jun-Aug;Friends;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Europe;1;August;Sunday
New Zeland;146;17;33;4;Jun-Aug;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Oceania;2;August;Saturday
Canada;8;8;9;1;Sep-Nov;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;4;September;Wednesday
USA;9;3;1;4;Sep-Nov;Families;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;2;September;Saturday
Canada;41;9;19;3;Sep-Nov;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;2;October;Tuesday
USA;8;7;26;2;Sep-Nov;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;North America;10;October;Monday
UK;10;5;2;4;Sep-Nov;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Europe;7;November;Saturday
New Zeland;4;3;3;1;Sep-Nov;Couples;NO;YES;NO;NO;YES;YES;Circus Circus Hotel & Casino Las Vegas;3;3773;Oceania;3;November;Monday
