DEPARTURE CITY,DEPARTURE STATE,DEPARTURE CARRIER,ARRIVAL CITY,ARRIVAL STATE,ARRIVAL CARRIER,RAIL SPEED SPEED,RAIL CAR TYPE TYPE,RAIL OWNERSHIP OWNERSHIP,RAIL CARLOAD LOAD,DEPEARTURE DATE,ARRIVAL DATE,CAR VALUE,DAMAGED,WEIGHT,FUEL USED,PROPER DESTINATION,MILES,# OF STOPS
Kansas City,MO,UP,Kansas City,MO,KCS,Coal Unit,Box,Foreign,Coal,5/27/2013 0:00,6/15/2013 0:00,247882,3379.096242,0,33.77145913,No,1959,4
Hinkle,OR,UP,Laredo,TX,KCS,Grain Unit,Box,Foreign,Intermodal,10/18/2013 0:00,10/31/2013 0:00,155181,3364.134687,0,33.36988666,No,2070,4
Pasco,WA,BNSF,Columbus,OH,NS,Multilevel,Box,System,Metallic Ores and Metals,9/21/2013 0:00,9/29/2013 0:00,203772,10196.38391,0,44.48193715,No,1668,4
Willard,OH,CSX,Nashville,TN,CSX,Coal Unit,Box,Private,"Farm and Food Products, Excluding Grain",5/1/2013 0:00,5/14/2013 0:00,76478,1256.560688,0,38.50578814,No,1278,1
Nashville,TN,CSX,Laredo,TX,KCS,Intermodal,Box,Foreign,Intermodal,3/3/2013 0:00,3/18/2013 0:00,194439,126168.9385,0,45.54758805,No,267,5
Allentown,PA,NS,Sheffield,AL,NS,Multilevel,Box,Foreign,Coal,7/25/2013 0:00,8/12/2013 0:00,185230,4703.209472,0,23.11729409,No,954,3
Louisville,KY,CSX,Pine Bluff,AR,UP,Multilevel,Box,System,Intermodal,12/30/2013 0:00,1/18/2014 0:00,124319,3318.806752,0,28.70877627,No,1273,5
Nashville,TN,CSX,Fond du Lac Yard,WI,CN,Coal Unit,Box,Private,Intermodal,2/4/2013 0:00,2/19/2013 0:00,176870,91497.14454,0,44.37434746,No,1477,2
Monterrey,NL,KCS,Decatur,IL,NS,Manifest,Box,Foreign,Motor Vehicles and Parts,2/7/2013 0:00,2/14/2013 0:00,89617,574.3934499,0,45.02438493,No,1832,4
Waycross,GA,CSX,Hinkle,OR,UP,Grain Unit,Box,System,Petroleum and Petroleum Products,6/17/2013 0:00,6/27/2013 0:00,210527,4862.427151,0,62.53500598,No,2026,2
