"Month","Accidental deaths in USA: monthly, 1973 ? 1978"
"1973-01",9007
"1973-02",8106
"1973-03",8928
"1973-04",9137
"1973-05",10017
"1973-06",10826
"1973-07",11317
"1973-08",10744
"1973-09",9713
"1973-10",9938
"1973-11",9161
"1973-12",8927
"1974-01",7750
"1974-02",6981
"1974-03",8038
"1974-04",8422
"1974-05",8714
"1974-06",9512
"1974-07",10120
"1974-08",9823
"1974-09",8743
"1974-10",9129
"1974-11",8710
"1974-12",8680
"1975-01",8162
"1975-02",7306
"1975-03",8124
"1975-04",7870
"1975-05",9387
"1975-06",9556
"1975-07",10093
"1975-08",9620
"1975-09",8285
"1975-10",8433
"1975-11",8160
"1975-12",8034
"1976-01",7717
"1976-02",7461
"1976-03",7776
"1976-04",7925
"1976-05",8634
"1976-06",8945
"1976-07",10078
"1976-08",9179
"1976-09",8037
"1976-10",8488
"1976-11",7874
"1976-12",8647
"1977-01",7792
"1977-02",6957
"1977-03",7726
"1977-04",8106
"1977-05",8890
"1977-06",9299
"1977-07",10625
"1977-08",9302
"1977-09",8314
"1977-10",8850
"1977-11",8265
"1977-12",8796
"1978-01",7836
"1978-02",6892
"1978-03",7791
"1978-04",8129
"1978-05",9115
"1978-06",9434
"1978-07",10484
"1978-08",9827
"1978-09",9110
"1978-10",9070
"1978-11",8633
"1978-12",9240
