Time,Ads
2017-09-13T00:00:00,80115
2017-09-13T01:00:00,79885
2017-09-13T02:00:00,89325
2017-09-13T03:00:00,101930
2017-09-13T04:00:00,121630
2017-09-13T05:00:00,116475
2017-09-13T06:00:00,106495
2017-09-13T07:00:00,102795
2017-09-13T08:00:00,108055
2017-09-13T09:00:00,116125
2017-09-13T10:00:00,131030
2017-09-13T11:00:00,149020
2017-09-13T12:00:00,157590
2017-09-13T13:00:00,150715
2017-09-13T14:00:00,149295
2017-09-13T15:00:00,150100
2017-09-13T16:00:00,144780
2017-09-13T17:00:00,150690
2017-09-13T18:00:00,163840
2017-09-13T19:00:00,166235
2017-09-13T20:00:00,139520
2017-09-13T21:00:00,105895
2017-09-13T22:00:00,96780
2017-09-13T23:00:00,82520
2017-09-14T00:00:00,80125
2017-09-14T01:00:00,75335
2017-09-14T02:00:00,85105
2017-09-14T03:00:00,102080
2017-09-14T04:00:00,125135
2017-09-14T05:00:00,118030
2017-09-14T06:00:00,109225
2017-09-14T07:00:00,102475
2017-09-14T08:00:00,102240
2017-09-14T09:00:00,115840
2017-09-14T10:00:00,130540
2017-09-14T11:00:00,144325
2017-09-14T12:00:00,148970
2017-09-14T13:00:00,149150
2017-09-14T14:00:00,148040
2017-09-14T15:00:00,148810
2017-09-14T16:00:00,149830
2017-09-14T17:00:00,150570
2017-09-14T18:00:00,149440
2017-09-14T19:00:00,150520
2017-09-14T20:00:00,129130
2017-09-14T21:00:00,103815
2017-09-14T22:00:00,92175
2017-09-14T23:00:00,82765
2017-09-15T00:00:00,76315
2017-09-15T01:00:00,75130
2017-09-15T02:00:00,82640
2017-09-15T03:00:00,88795
2017-09-15T04:00:00,118430
2017-09-15T05:00:00,115190
2017-09-15T06:00:00,110940
2017-09-15T07:00:00,98860
2017-09-15T08:00:00,104185
2017-09-15T09:00:00,108665
2017-09-15T10:00:00,126640
2017-09-15T11:00:00,140435
2017-09-15T12:00:00,152470
2017-09-15T13:00:00,146275
2017-09-15T14:00:00,148020
2017-09-15T15:00:00,147735
2017-09-15T16:00:00,145750
2017-09-15T17:00:00,149285
2017-09-15T18:00:00,159725
2017-09-15T19:00:00,161085
2017-09-15T20:00:00,135520
2017-09-15T21:00:00,112945
2017-09-15T22:00:00,100200
2017-09-15T23:00:00,87615
2017-09-16T00:00:00,87835
2017-09-16T01:00:00,88845
2017-09-16T02:00:00,92350
2017-09-16T03:00:00,104465
2017-09-16T04:00:00,115940
2017-09-16T05:00:00,128950
2017-09-16T06:00:00,141385
2017-09-16T07:00:00,144440
2017-09-16T08:00:00,143250
2017-09-16T09:00:00,133190
2017-09-16T10:00:00,131240
2017-09-16T11:00:00,142480
2017-09-16T12:00:00,157375
2017-09-16T13:00:00,152500
2017-09-16T14:00:00,153735
2017-09-16T15:00:00,151195
2017-09-16T16:00:00,150645
2017-09-16T17:00:00,147435
2017-09-16T18:00:00,152525
2017-09-16T19:00:00,146875
2017-09-16T20:00:00,125245
2017-09-16T21:00:00,117925
2017-09-16T22:00:00,96700
2017-09-16T23:00:00,93610
2017-09-17T00:00:00,89060
2017-09-17T01:00:00,89345
2017-09-17T02:00:00,90575
2017-09-17T03:00:00,98290
2017-09-17T04:00:00,112570
2017-09-17T05:00:00,129470
2017-09-17T06:00:00,141405
2017-09-17T07:00:00,152560
2017-09-17T08:00:00,152580
2017-09-17T09:00:00,141170
2017-09-17T10:00:00,147550
