Date,ads
8/3/17 0:00,49136
8/3/17 1:00,46450
8/3/17 2:00,46355
8/3/17 3:00,43748
8/3/17 4:00,42281
8/3/17 5:00,42059
8/3/17 6:00,41136
8/3/17 7:00,39974
8/3/17 8:00,37261
8/3/17 9:00,35194
8/3/17 10:00,33188
8/3/17 11:00,33860
8/3/17 12:00,35437
8/3/17 13:00,36711
8/3/17 14:00,38883
8/3/17 15:00,38449
8/3/17 16:00,41144
8/3/17 17:00,44986
8/3/17 18:00,48467
8/3/17 19:00,50841
8/3/17 20:00,52504
8/3/17 21:00,52998
8/3/17 22:00,54497
8/3/17 23:00,53225
8/4/17 0:00,53340
8/4/17 1:00,50372
8/4/17 2:00,49659
8/4/17 3:00,49061
8/4/17 4:00,47064
8/4/17 5:00,49502
8/4/17 6:00,36092
8/4/17 7:00,33534
8/4/17 8:00,33614
8/4/17 9:00,31387
8/4/17 10:00,30942
8/4/17 11:00,30781
8/4/17 12:00,32040
8/4/17 13:00,34229
8/4/17 14:00,34965
8/4/17 15:00,33603
8/4/17 16:00,35761
8/4/17 17:00,40269
8/4/17 18:00,43283
8/4/17 19:00,47662
8/4/17 20:00,48299
8/4/17 21:00,47808
8/4/17 22:00,47458
8/4/17 23:00,47748
8/5/17 0:00,46454
8/5/17 1:00,44644
8/5/17 2:00,43024
8/5/17 3:00,40965
8/5/17 4:00,38612
8/5/17 5:00,37204
8/5/17 6:00,36675
8/5/17 7:00,35793
8/5/17 8:00,34619
8/5/17 9:00,32478
8/5/17 10:00,31946
8/5/17 11:00,32160
8/5/17 12:00,34386
8/5/17 13:00,37127
8/5/17 14:00,39756
8/5/17 15:00,37690
8/5/17 16:00,40521
8/5/17 17:00,44935
8/5/17 18:00,46760
8/5/17 19:00,48561
8/5/17 20:00,49723
8/5/17 21:00,51836
8/5/17 22:00,48950
8/5/17 23:00,48369
8/6/17 0:00,45990
8/6/17 1:00,45116
8/6/17 2:00,44082
8/6/17 3:00,42906
8/6/17 4:00,39726
8/6/17 5:00,37505
8/6/17 6:00,36564
8/6/17 7:00,36664
8/6/17 8:00,34800
8/6/17 9:00,33793
8/6/17 10:00,32162
8/6/17 11:00,32530
8/6/17 12:00,33822
8/6/17 13:00,34196
8/6/17 14:00,35782
8/6/17 15:00,34945
8/6/17 16:00,38735
8/6/17 17:00,42388
8/6/17 18:00,45911
8/6/17 19:00,48359
8/6/17 20:00,48789
8/6/17 21:00,49199
8/6/17 22:00,49724
8/6/17 23:00,47776
8/7/17 0:00,45420
8/7/17 1:00,45589
8/7/17 2:00,43125
8/7/17 3:00,41715
8/7/17 4:00,41054
8/7/17 5:00,38676
8/7/17 6:00,38489
8/7/17 7:00,35313
8/7/17 8:00,34756
8/7/17 9:00,33537
8/7/17 10:00,32204
8/7/17 11:00,32920
8/7/17 12:00,33745
8/7/17 13:00,36117
8/7/17 14:00,37729
8/7/17 15:00,36304
8/7/17 16:00,40054
8/7/17 17:00,44467
8/7/17 18:00,47528
8/7/17 19:00,49087
8/7/17 20:00,50488
8/7/17 21:00,50996
8/7/17 22:00,51078
8/7/17 23:00,49822
8/8/17 0:00,46662
8/8/17 1:00,45270
8/8/17 2:00,43989
8/8/17 3:00,42538
8/8/17 4:00,40866
8/8/17 5:00,39692
8/8/17 6:00,38662
8/8/17 7:00,37216
8/8/17 8:00,36397
8/8/17 9:00,35048
8/8/17 10:00,34658
8/8/17 11:00,35913
8/8/17 12:00,39906
8/8/17 13:00,43533
8/8/17 14:00,45028
8/8/17 15:00,44010
8/8/17 16:00,46169
8/8/17 17:00,50015
8/8/17 18:00,54464
8/8/17 19:00,58523
8/8/17 20:00,57088
8/8/17 21:00,59309
8/8/17 22:00,56528
8/8/17 23:00,56795
8/9/17 0:00,54311
8/9/17 1:00,51724
8/9/17 2:00,49447
8/9/17 3:00,46956
8/9/17 4:00,45625
8/9/17 5:00,44885
8/9/17 6:00,45152
8/9/17 7:00,42475
8/9/17 8:00,40337
8/9/17 9:00,38265
8/9/17 10:00,37396
8/9/17 11:00,35274
8/9/17 12:00,37696
8/9/17 13:00,38848
8/9/17 14:00,40022
8/9/17 15:00,40947
8/9/17 16:00,42620
8/9/17 17:00,46929
8/9/17 18:00,51143
8/9/17 19:00,53397
8/9/17 20:00,54146
8/9/17 21:00,55991
8/9/17 22:00,56517
8/9/17 23:00,57129
8/10/17 0:00,54841
8/10/17 1:00,53266
8/10/17 2:00,51497
8/10/17 3:00,48029
8/10/17 4:00,46162
8/10/17 5:00,44376
8/10/17 6:00,44796
8/10/17 7:00,44152
8/10/17 8:00,42017
8/10/17 9:00,39388
8/10/17 10:00,38347
8/10/17 11:00,39391
8/10/17 12:00,40869
8/10/17 13:00,42794
8/10/17 14:00,45188
8/10/17 15:00,44537
8/10/17 16:00,47473
8/10/17 17:00,51623
8/10/17 18:00,55256
8/10/17 19:00,57588
8/10/17 20:00,57763
8/10/17 21:00,58934
8/10/17 22:00,60812
8/10/17 23:00,59800
8/11/17 0:00,58538
8/11/17 1:00,57351
8/11/17 2:00,55531
8/11/17 3:00,54362
8/11/17 4:00,53220
8/11/17 5:00,54285
8/11/17 6:00,39255
8/11/17 7:00,38759
8/11/17 8:00,38476
8/11/17 9:00,37744
8/11/17 10:00,37309
8/11/17 11:00,37249
8/11/17 12:00,39173
8/11/17 13:00,43929
8/11/17 14:00,45736
8/11/17 15:00,43101
8/11/17 16:00,45675
8/11/17 17:00,48914
8/11/17 18:00,53074
8/11/17 19:00,55654
8/11/17 20:00,55847
8/11/17 21:00,57906
8/11/17 22:00,54368
8/11/17 23:00,52847
8/12/17 0:00,51195
8/12/17 1:00,48750
8/12/17 2:00,46157
8/12/17 3:00,44152
8/12/17 4:00,41617
8/12/17 5:00,40368
8/12/17 6:00,38195
8/12/17 7:00,37654
8/12/17 8:00,37075
8/12/17 9:00,36395
8/12/17 10:00,35038
8/12/17 11:00,35542
