wage;exper;union;goodhlth;black;female;married;service;educ;looks
5.73;30;0;1;0;1;1;1;14;4
4.28;28;0;1;0;1;1;0;12;3
7.96;35;0;1;0;1;0;0;10;4
11.57;38;0;1;0;0;1;1;16;3
11.42;27;0;1;0;0;1;0;16;3
3.91;20;0;0;0;1;1;0;12;3
8.76;12;0;1;0;0;1;0;16;3
7.69;5;1;1;0;0;0;0;16;4
5;5;0;1;0;1;0;0;16;3
3.89;12;0;1;0;1;0;0;12;3
3.45;3;0;1;0;1;0;0;12;4
4.03;6;0;1;0;0;1;0;16;4
5.14;19;0;1;0;0;1;1;17;2
3;8;0;1;0;0;0;1;16;3
7.99;12;0;1;0;0;1;0;16;4
6.01;17;0;1;0;0;1;0;16;4
5.16;7;0;1;0;0;1;0;17;3
11.54;12;0;1;0;0;1;1;17;4
10.44;10;0;1;0;1;0;0;17;4
7.69;7;0;1;0;1;1;1;16;3
7.69;7;1;1;0;0;0;0;17;4
6.79;19;0;1;0;0;1;1;14;3
6.87;33;0;1;0;0;1;1;12;3
17.03;32;0;1;0;0;1;0;13;3
10.05;12;0;1;0;0;1;0;13;4
15.81;24;0;1;0;0;1;1;17;4
14.84;29;0;1;0;0;0;1;13;5
19.08;17;0;1;0;0;0;0;17;5
8.35;41;0;0;0;0;1;1;16;1
9.62;40;0;0;0;0;1;0;16;3
5.96;10;0;1;0;0;1;0;14;3
5.73;43;0;0;0;0;1;0;10;3
6.73;41;0;1;0;0;1;0;10;4
8.17;18;0;1;0;0;1;0;16;2
12.39;28;0;1;0;0;1;0;12;4
9.62;37;0;1;0;0;1;0;13;2
4.83;20;0;1;1;0;1;0;16;4
7.69;10;1;1;0;0;1;0;13;2
12.5;31;0;1;0;0;1;0;16;3
2.82;18;0;1;0;0;1;1;12;3
12.31;9;1;1;0;0;0;0;17;3
13.22;42;0;1;0;0;1;0;16;3
16.83;14;0;1;0;0;1;0;16;4
11.54;27;0;1;0;0;1;0;16;3
4.95;20;0;1;1;1;0;1;14;3
7.21;14;0;1;0;0;1;0;17;3
11.58;4;0;1;0;0;1;0;17;3
15.38;13;0;1;0;0;1;0;17;3
6.1;5;0;1;0;0;1;1;17;3
7.93;32;0;1;0;0;1;1;17;3
9.16;19;1;1;0;1;1;1;17;4
6.91;14;0;1;0;1;0;1;17;4
20.18;28;0;1;0;0;1;1;17;3
9.93;31;1;1;0;0;1;0;17;3
7.79;18;0;1;0;0;1;0;13;4
5.13;23;0;1;0;0;1;1;5;3
10.99;14;0;1;0;0;1;0;16;4
6.56;17;0;1;0;0;1;0;13;2
10.1;16;0;1;0;0;1;0;13;3
10.74;19;0;1;0;0;1;0;16;3
16.35;26;0;1;0;0;1;0;17;3
4.62;20;0;1;0;1;1;1;12;4
7.49;18;0;1;0;0;1;0;17;3
19.23;35;0;1;0;0;1;0;17;3
4.77;9;0;1;0;1;0;1;17;4
7.14;20;0;1;0;1;0;1;17;2
14.42;7;0;1;0;0;1;1;17;4
9.28;40;0;1;0;0;0;1;17;4
29.98;12;0;1;0;0;1;1;17;3
32.79;33;0;1;0;0;1;1;16;4
9.62;16;0;1;0;0;1;0;16;3
8.36;15;0;1;0;1;1;0;16;3
21.63;11;0;1;0;0;1;1;17;3
15.9;24;0;1;0;0;1;1;17;4
5.77;6;0;1;0;0;1;1;17;2
20.99;40;0;1;0;0;1;1;17;2
23.32;15;0;1;0;0;1;1;17;5
4.97;9;0;1;0;0;1;1;17;4
6.89;16;0;1;0;0;1;0;17;2
5.73;12;0;1;0;1;0;1;13;2
5.19;8;0;1;0;0;1;1;17;3
7.79;25;1;1;0;1;0;1;17;3
8.79;24;1;1;0;1;1;1;16;3
9.32;25;1;1;0;1;0;0;17;4
8.33;7;0;1;0;1;0;1;17;4
10.12;40;0;1;1;1;0;1;10;3
1.98;29;0;0;0;1;0;1;8;3
8.24;13;0;1;0;1;1;1;17;4
5.05;5;0;1;0;1;0;1;14;4
6.55;10;0;1;0;1;1;0;16;3
4.47;25;1;1;0;0;1;1;13;3
7.96;10;0;1;0;1;1;1;16;3
6.25;20;0;1;0;0;0;1;17;2
4.13;7;0;1;0;0;0;0;16;3
6.73;25;0;1;0;1;1;1;13;2
7.69;8;0;1;0;1;0;1;17;3
4.35;8;0;1;0;1;1;1;14;2
7.69;28;0;1;0;0;1;0;14;3
4.81;37;0;1;0;0;1;1;16;2
5.24;31;0;1;0;0;1;1;17;3
2.14;24;0;1;0;0;1;1;16;4
4.49;33;0;1;0;0;1;1;17;4
3.61;8;0;1;0;0;1;1;17;4
5.45;33;0;1;0;0;1;1;17;3
5;30;0;1;0;0;1;1;17;3
6.73;23;0;1;0;0;1;1;17;3
10.05;24;0;1;0;0;1;0;16;3
6.54;4;0;1;0;0;1;0;17;4
9.2;40;0;1;0;1;0;1;17;3
4.62;1;0;1;0;1;0;1;16;3
3.37;36;0;1;1;1;0;1;13;3
5.54;7;0;1;0;1;0;1;17;4
6.11;7;0;1;0;1;1;0;12;5
4.99;14;0;1;0;1;0;1;13;3
5.88;7;0;1;0;1;1;1;17;3
5.66;11;1;1;0;1;0;1;16;4
4;6;0;1;0;0;1;1;16;3
6.87;23;0;1;0;1;1;1;16;3
4.37;19;0;1;0;1;0;1;17;2
5.77;30;0;1;0;0;1;0;13;3
5.77;21;0;1;0;0;1;1;17;4
12.31;9;0;1;0;0;1;1;17;4
19.08;29;1;1;0;0;1;1;17;3
7.55;9;0;1;0;1;0;1;17;3
5.9;18;0;1;0;1;0;1;17;4
6.37;26;0;1;0;1;0;1;17;3
6.15;21;1;1;0;0;1;1;17;4
1.92;12;1;1;0;1;1;1;17;2
3.27;11;0;1;0;0;0;1;17;3
2.18;18;0;1;0;0;0;1;17;4
5.62;22;0;1;0;0;1;1;17;3
9.29;38;0;1;0;1;0;1;17;4
6.41;10;1;1;0;1;1;1;17;3
7.46;22;1;1;0;1;1;1;16;3
6.59;16;1;1;0;1;0;1;17;2
6.73;20;1;1;0;1;1;1;17;2
5.61;14;1;1;0;1;1;1;16;3
3.65;14;0;1;0;1;1;1;16;4
13.01;15;1;1;0;0;1;1;17;4
6.97;18;1;1;0;0;0;1;17;3
7.69;21;1;1;0;1;1;1;17;3
6.73;15;0;1;0;0;1;1;16;3
5.13;10;1;1;0;1;0;1;17;3
2.14;6;0;1;0;1;1;1;16;4
4.53;8;1;1;0;1;1;1;14;2
9.1;18;0;1;0;1;0;1;17;2
9.78;15;1;1;0;1;0;1;17;3
3.63;11;0;1;0;1;1;1;13;4
7.21;20;1;0;1;1;1;1;17;3
10.62;18;1;1;0;1;1;1;17;3
4.62;10;1;1;0;1;1;1;17;3
6.54;26;1;1;0;1;0;1;14;3
12.12;35;1;0;0;1;0;1;17;3
7.21;30;1;1;0;1;1;1;16;4
6.25;6;1;0;0;1;0;1;16;4
3.85;13;1;1;0;1;1;1;17;3
3.03;10;0;0;0;1;1;1;16;3
2.01;16;0;1;0;1;1;1;16;3
3.9;5;1;1;0;1;1;1;17;4
6.35;11;1;1;0;1;0;1;17;3
2;6;0;1;0;1;1;1;14;4
7.69;22;1;1;0;0;1;1;17;3
2.63;4;0;1;0;1;0;1;12;3
5;15;1;1;0;1;1;1;17;4
6.54;7;0;1;0;1;0;1;17;3
5.19;10;0;1;0;1;1;1;16;3
9.75;8;1;1;0;1;1;1;16;3
2.81;14;0;1;1;1;1;0;13;3
4.62;11;1;1;0;0;1;1;17;3
7.33;34;1;1;0;0;1;1;17;3
7.69;12;1;1;0;0;1;1;17;4
3.26;10;1;1;0;0;1;1;17;3
5.77;11;0;1;0;1;0;1;17;2
5.59;8;1;1;0;0;0;1;17;4
5.13;28;0;1;1;0;0;1;16;3
14.74;24;1;1;0;0;1;1;17;2
3.67;8;1;1;0;1;0;1;17;3
9.73;13;0;1;0;0;1;1;17;4
3.46;4;1;1;0;0;1;1;13;3
6.37;43;1;1;0;0;1;1;17;4
6.58;30;0;1;0;1;1;1;16;3
10.15;16;1;1;1;0;0;1;16;3
9.23;19;1;1;0;0;1;1;17;3
