description,identificator,num_counts,price,start_date,title
"Маечка небольшая ласковая девочка. Красивая и очаровательная собака - улыбка! Очень любит общение и внимание.  На прогулке послушна, хорошо ходит на поводке. К другим собакам равнодушна, в драки не лезет. Бегает за людьми и выпрашивает почесушки. Собака социализирована, с ней занимаются волонтеры. Майка похожа на лаечку, даже часто хвост держит колечком.  Девочка очень веселая, активная и дружелюбная, полностью ориентирована на человека. Будет отличной собакой компаньоном. Здорова. Стерилизована. Рост средний по колено.Возраст около 3 лет. Сейчас Майка находится в приюте. Там грустно, одиноко и холодно....Она сидит и ждет своего хозяина. Никто так не будет благодарен, как собака из приюта. Маечка подарит Вам все свою любовь! Возьмите домой друга - она никогда вас не предаст!",101330173,2066,Неуказана,24 сентября 2012,Удивительный метис лайки Маечка ищет семью (в дар)
"Зося – милая, совсем простая собака. Не может похвастать ни красотой, ни породой. Ну и не надо! В приюте сидела в дальнем углу, никто не хотел ею заниматься. Солнца не видела по нескольку месяцев! Я вытащила ее гулять, приласкала.  Такой благодарной, резвой, веселой  собаки Вы еще не встречали!   Зосенька  наша элегантна, чуть выше колена,  худощавая, тонкокостная.  Зося спокойная и умница, всегда приветлива и с собаками и с людьми, немного пока застенчивая. К поводку приучена, но иногда немного дергает  – долго сидела без прогулок. Сейчас  я стала гулять с Зосей больше! Как же признательна собака, что ее любят и заботяться о ней!  А  я просто в восторге от того, что Зоська уже носится по полянке, весело задрав хвост!     Зося  не избалована судьбой, и чтобы ее осчастливить,  надо  немного: чистый коврик,  да чтоб с ней гуляли и кормили, но главное – чтоб любили.  Собачка отлично сможет жить и в квартире и в частном доме, даже во дворе /но не на цепь/.  Ей нужен добрый веселый хозяин!   А она в долгу не останется!    Не отворачивайтесь сразу равнодушно от совсем простой собаки! Посмотрите внимательно  фотографии! Звоните и  приезжайте в приют «Эко-Печатники» погулять с Зосей и со мной вдоль Москвы-реки.  М.б. после этого наша скромная собака  станет Вам самой верной и самой любимой подругой!",101766363,810,Неуказана,26 сентября 2012,"Зося-просто скромная собака, верная подруга. В дар"
"Реми застенчивая девчушка, никак не может привыкнуть к грохоту и шуму приюта, вздрагивает при каждом резком звуке. Позволяет себя гладить, гуляет пока неохотно и только около клетки.  Реми - обладательница гладкой шерстки цвета графит. Ей 3-4 года, рост 45 см, стерилизована, внешне здорова.  Реми в приюте сама не своя. Приезжайте знакомиться и, возможно, именно Вы спустя время нам расскажете, что есть в жизни счастье и у нашей пока грустной Реми.",104275455,928,Неуказана,7 октября 2012,Скромная застенчивая Реми в добрые руки в дар
"кане корсо для вязки Дата рождения 04.03.2008 г., окрас черный, родословная РКФ, имеет титулы. Развязан, проверен по потомству. Родители папа: импортирован из Италии, Чемпион Болгарии- Donjuan Del Rosso Malpelo (РКФ) мама: Чемпион России Гавана (РКФ) местонахождение: Москва, ЮВАО",10636944,4358,Неуказана,6 сентября 2010,"Кане Корсо, Кобель, вязка"
"Жизнерадостная, энергичная, очень самоуверенная,  колоритнейшая собака по имени Рада Вам  понравится сразу!   Рада никуда не торопится, никакой суеты, все по плану! Собака харизматичная, спокойная, вполне благодушная и  дружелюбная с человеком, в собачьем сообществе  занимает руководящие позиции и вообще весьма авторитетная особа. Но вообще яркая, слегка нахальная псина совсем не злобная, и в целом не агрессивная. Скорее всего охранные качества у крупногабаритной красотки есть.   Будет любить, уважать и слушаться  сильного, харизматичного, уверенного в себе, энергичного человека. На поводке ходит прилично, но от избытка нерастраченной творческой энергии иногда изрядно тянет - псину нужно нагружать заданиями и подвижными играми;  точно не скандалистка, не истеричка, не капризная /чаще всего невозмутима и на мордахе цветет загадочная улыбка чеширского кота/ и вообще очень общительная псина - настоящая семейная собака, особенно для семей с кучей детей, большой дачей, традициями и т.д.  Хвостатая деваха наша вполне здорова, молода /около 3-4 лет/, чуть полновата, в холке чуть выше  колена /около 60см /, стерилизована.   Радуха девушка неизбалованная, и жить ей будет хорошо всюду, где ее будут любить.   Приезжайте в приют представиться нашей Раде! М.б. она и выберет Вас в качестве хозяев, если Вам повезет! Приют эко-Некрасовка",106432433,1567,Неуказана,16 октября 2012,"Обаятельнейшая, энергичная, самоуверенная Рада"
"Чуня - молодой мальчик. Веселый, ласковый, любит обниматься, очень любопытный. Ориентирован на человека, очень-очень нуждается в общении. Станет прекрасным компаньоном. Рост чуть выше колена. С другими собаками ладит, не агрессивен. Идёт работа над приучением к поводку. Внешне здоров, кастрирован.",106891139,683,Неуказана,18 октября 2012,"Чуня. Молодой пес, любящий людей, в добрые руки"
Породистый жесткошерстный фокстерьер 4 года (без документов) желает познакомится с дамой.,107458182,254,5000,20 октября 2012,Молодой фокстерьер для вязки
"Рассказывает волонтёр Светлана Ханова: ""Эти глаза гипнотизировали меня долгое время, но все время пробегая мимо, я была уверенна, что у этого пса точно есть опекун! Уж больно пронзительно умный взгляд, красивый, яркий окрас - ну нельзя такого пса не заприметить! Но, видимо Агатика никто не опекал. И не выдержало мое сердце - я зашла познакомиться и конечно, подружиться! Агатик не проявил никакой агрессии и разрешил спокойно надеть на него ошейник, такой же ярко оранжевый как и его окрас! Ну, на выгул мы пришли с трудом, потому, что не знает Агатик - где выгул?  А вот гулять мы, оказывается, даже очень хотим и знаем как! Пес не агрессивный и вполне себе мирный и любознательный, к сородичам доброжелателен! На поводке он ходит - только не понимает пока, куда надо идти и не накажут ли его, если он не угадает. А вот подойти поласкаться Агатик боится, если его, как говорится, зажать в угол, то он разрешает себя и гладить и расчесывать и ему все это нравится, но вот сам подойти боится и прячется. Пока такие успехи! Пёс очень красивый, классического среднего телосложения, с удивительными пронзительными глазами и спокойным, не склочным характером, вполне самостоятельный, внешне здоров, кастрирован. Рост в холке 54 см. Ждем в гости на смотрины и общение!",108675250,684,Неуказана,25 октября 2012,Агат-пес с удивительными глазами ждет вас (в дар)
"Джою около 5 лет, рост около 45 см в холке. Очень ласковый, подвижный парень, любит обниматься, обопрётся лапами и заглядывает в глаза. С другими собаками общается хорошо, но в обиду себя не даст. Активный - любит гулять и бегать-носиться. Кастрирован.",108853603,981,Неуказана,25 октября 2012,Дружелюбный ласковый Джой подарит радость (в дар)
"Удивительно ласковая и смышленая девочка Фима нуждается в любящем хозяине. Очень тянется к человеку, при том не ревнива и не прочь поиграть с другими собаками. Фима очень красивая и улыбчивая, совершенно не агрессивна и доверчива. В приюте она вынуждена почти все время сидеть в клетке, а ей так хочется побегать и поиграть. Очень радуется посетителям. Рост средний. Стерилизована.",108926995,1509,Неуказана,26 октября 2012,Улыбчивая веселая Фима - собака в добрые руки
