observation_date,IPG3113N
1972-01-01,85.6945
1972-02-01,71.8200
1972-03-01,66.0229
1972-04-01,64.5645
1972-05-01,65.0100
1972-06-01,67.6467
1972-07-01,69.0429
1972-08-01,70.8370
1972-09-01,75.0462
1972-10-01,106.9289
1972-11-01,105.5962
1972-12-01,105.9673
1973-01-01,91.2997
1973-02-01,77.2700
1973-03-01,69.6110
1973-04-01,70.2986
1973-05-01,71.6822
1973-06-01,74.8635
1973-07-01,72.0464
1973-08-01,73.1748
1973-09-01,80.5915
1973-10-01,102.9200
1973-11-01,109.2524
1973-12-01,105.2210
1974-01-01,88.6985
1974-02-01,83.6098
1974-03-01,77.2300
1974-04-01,67.3209
1974-05-01,74.6196
1974-06-01,79.5858
1974-07-01,66.0568
1974-08-01,71.1864
1974-09-01,70.1750
1974-10-01,99.2212
1974-11-01,101.1201
1974-12-01,86.8930
1975-01-01,67.0117
1975-02-01,52.6964
1975-03-01,50.6689
1975-04-01,59.7613
1975-05-01,60.8277
1975-06-01,63.3629
1975-07-01,62.3089
1975-08-01,66.9021
1975-09-01,66.3200
1975-10-01,96.3411
1975-11-01,105.6285
1975-12-01,102.1819
1976-01-01,87.9578
1976-02-01,75.1878
1976-03-01,62.0101
1976-04-01,64.4758
1976-05-01,70.5454
1976-06-01,68.2086
1976-07-01,69.3122
1976-08-01,71.5922
1976-09-01,76.9073
1976-10-01,107.9049
1976-11-01,111.6584
1976-12-01,113.9655
1977-01-01,97.3515
1977-02-01,90.0083
1977-03-01,77.2871
1977-04-01,76.0459
1977-05-01,77.9316
1977-06-01,78.3077
1977-07-01,75.8701
1977-08-01,78.1822
1977-09-01,84.2727
1977-10-01,109.2254
1977-11-01,106.1656
1977-12-01,113.0575
1978-01-01,90.1141
1978-02-01,80.4678
1978-03-01,76.4640
1978-04-01,77.4211
1978-05-01,76.7081
1978-06-01,78.1769
1978-07-01,72.4653
1978-08-01,75.9054
1978-09-01,82.7320
1978-10-01,105.0435
1978-11-01,111.6915
1978-12-01,114.0821
1979-01-01,98.6382
1979-02-01,84.7727
1979-03-01,81.0653
1979-04-01,77.1607
1979-05-01,78.3780
1979-06-01,81.0958
1979-07-01,74.7939
1979-08-01,77.1113
1979-09-01,80.8078
1979-10-01,101.0970
1979-11-01,106.7263
1979-12-01,105.6220
1980-01-01,86.9268
1980-02-01,84.4365
1980-03-01,74.4834
1980-04-01,65.5610
1980-05-01,74.3631
1980-06-01,76.9925
1980-07-01,71.0376
1980-08-01,77.2616
1980-09-01,77.9510
1980-10-01,100.8283
1980-11-01,106.7109
1980-12-01,107.0469
1981-01-01,96.3481
1981-02-01,90.4918
1981-03-01,78.0943
1981-04-01,78.0284
1981-05-01,83.3531
1981-06-01,83.0404
1981-07-01,79.2798
1981-08-01,81.7679
1981-09-01,83.2954
1981-10-01,118.4981
1981-11-01,116.9605
1981-12-01,113.2558
1982-01-01,95.9863
1982-02-01,92.9899
1982-03-01,83.0765
1982-04-01,73.5603
1982-05-01,76.4383
1982-06-01,78.5492
1982-07-01,76.3145
1982-08-01,77.7653
1982-09-01,81.3017
1982-10-01,114.1349
1982-11-01,114.9389
1982-12-01,115.1824
1983-01-01,95.1877
1983-02-01,87.1973
1983-03-01,77.9717
1983-04-01,73.7339
1983-05-01,75.5696
1983-06-01,74.7701
1983-07-01,76.3340
1983-08-01,79.5580
1983-09-01,82.8953
1983-10-01,110.4480
1983-11-01,106.5100
1983-12-01,103.9983
1984-01-01,93.8437
1984-02-01,86.3220
1984-03-01,78.9029
1984-04-01,75.6699
1984-05-01,77.8830
1984-06-01,77.6690
1984-07-01,76.9080
1984-08-01,81.2320
1984-09-01,85.8844
1984-10-01,112.1683
1984-11-01,115.5118
1984-12-01,112.8158
1985-01-01,97.6849
1985-02-01,87.1184
1985-03-01,79.1429
1985-04-01,76.2069
1985-05-01,77.3304
1985-06-01,75.8357
1985-07-01,75.1953
1985-08-01,79.9166
1985-09-01,89.5288
1985-10-01,112.2728
1985-11-01,113.6916
1985-12-01,117.1114
1986-01-01,97.3994
1986-02-01,93.6471
1986-03-01,78.8262
1986-04-01,73.6548
1986-05-01,76.5236
1986-06-01,76.7767
1986-07-01,73.4034
1986-08-01,79.5478
1986-09-01,88.4485
1986-10-01,115.9014
1986-11-01,119.4066
1986-12-01,115.4294
1987-01-01,97.1736
1987-02-01,94.2793
1987-03-01,83.6225
1987-04-01,77.3408
1987-05-01,78.0336
1987-06-01,79.1708
1987-07-01,76.1298
1987-08-01,83.5260
1987-09-01,90.7704
1987-10-01,121.6259
1987-11-01,124.8565
1987-12-01,122.6595
1988-01-01,95.8055
1988-02-01,95.3010
1988-03-01,89.8740
1988-04-01,80.8266
1988-05-01,82.4593
1988-06-01,86.7724
1988-07-01,90.7579
1988-08-01,98.0626
1988-09-01,102.5171
1988-10-01,125.7369
1988-11-01,123.4990
1988-12-01,122.4540
1989-01-01,102.9508
1989-02-01,102.3499
1989-03-01,93.4219
1989-04-01,88.7382
1989-05-01,87.9183
1989-06-01,90.5658
1989-07-01,89.7340
1989-08-01,96.5697
1989-09-01,101.0261
1989-10-01,120.0367
1989-11-01,123.3104
1989-12-01,125.9960
1990-01-01,99.9894
1990-02-01,101.2116
1990-03-01,94.8477
1990-04-01,88.4239
1990-05-01,88.6775
1990-06-01,92.7610
1990-07-01,96.9885
1990-08-01,102.3169
1990-09-01,108.6388
1990-10-01,124.4571
1990-11-01,133.2020
1990-12-01,134.4426
1991-01-01,107.4831
1991-02-01,111.4080
1991-03-01,104.8112
1991-04-01,96.0485
