Дата рождения;Пол;Дата приема;Дата увольнения;Должность;Подразделение;Дата активации;Дата начала обучения;Дата последнего посещения;Баллы;1;Название курса
16.05.1980 0:00;m;28.05.2012 0:00;01.01.2001 0:00;Начальник отдела;Отдел маршрутизации большегрузных транспортных средств;11.11.2015 20:44;11.11.2015 20:44;11.11.2015 20:46;0,00;В процессе;Формирование и развитие команды
07.12.1986 0:00;w;14.02.2005 0:00;01.01.2001 0:00;Начальник отдела;Отдел диспетчеризации АТП;02.12.2015 15:11;02.12.2015 15:11;02.12.2015 15:13;0,00;В процессе;Формирование и развитие команды
29.09.1990 0:00;w;25.05.2010 0:00;01.01.2001 0:00;Начальник отдела;Отдел сопровождения перевозок LTL;03.12.2015 17:53;03.12.2015 17:54;30.03.2016 18:53;30,00;В процессе;Эффективное управление конфликтами
13.01.1989 0:00;m;22.11.2013 0:00;01.01.2001 0:00;Оператор информационной базы;Группа оперативной работы с клиентами;03.12.2015 19:08;03.12.2015 19:09;;0,00;Назначен;Оценочный тест Microsoft PowerPoint 2010
13.01.1989 0:00;m;22.11.2013 0:00;01.01.2001 0:00;Оператор информационной базы;Группа оперативной работы с клиентами;03.12.2015 19:15;03.12.2015 19:15;07.12.2015 12:27;4,00;В процессе;Основы управления временем
20.12.1985 0:00;w;24.08.2010 0:00;01.01.2001 0:00;Начальник отдела;Отдел сопровождения перевозок LTL;04.12.2015 17:34;04.12.2015 17:34;;0,00;Назначен;Формирование и развитие команды
06.05.1991 0:00;m;19.09.2013 0:00;01.01.2001 0:00;Специалист по справочно-информационному обслуживанию;Группа оповещения;05.12.2015 20:33;05.12.2015 20:58;15.02.2018 8:20;0,00;В процессе;Обучающий курс Microsoft PowerPoint 2010
09.03.1987 0:00;w;05.07.2012 0:00;01.01.2001 0:00;Старший менеджер по работе с клиентами;Отдел по работе с клиентами LTL;08.12.2015 11:39;08.12.2015 11:39;08.12.2015 11:39;0,00;В процессе;Эффективное управление конфликтами
10.08.1985 0:00;w;01.03.2011 0:00;01.01.2001 0:00;Руководитель группы;Группа обучения КЦ;08.12.2015 17:31;08.12.2015 17:31;14.12.2015 20:30;0,00;В процессе;Курс ЦУП для руководителей
20.09.1985 0:00;w;06.05.2011 0:00;01.01.2001 0:00;Тренер;Группа обучения персонала;08.12.2015 19:49;08.12.2015 19:49;09.01.2017 19:28;0,00;В процессе;Формирование и развитие команды
20.09.1985 0:00;w;06.05.2011 0:00;01.01.2001 0:00;Тренер;Группа обучения персонала;08.12.2015 19:51;08.12.2015 19:52;08.12.2015 19:56;0,00;В процессе;Обучающий курс Microsoft PowerPoint 2010
16.06.1987 0:00;m;01.09.2010 0:00;01.01.2001 0:00;Старший менеджер;Группа оперативной работы с клиентами;08.12.2015 19:57;08.12.2015 19:57;08.12.2015 20:07;0,00;В процессе;Формирование и развитие команды
