SeriousDlqin2yrs;age;NumberOfTime30-59DaysPastDueNotWorse;DebtRatio;NumberOfTimes90DaysLate;NumberOfTime60-89DaysPastDueNotWorse;MonthlyIncome;NumberOfDependents
0;64;0;0.249908;0;0;8158.000000;0.000000
0;58;0;3870.000000;0;0;;0.000000
0;41;0;0.456127;0;0;6666.000000;0.000000
0;43;0;0.000190;0;0;10500.000000;2.000000
1;49;0;0.271820;0;0;400.000000;0.000000
0;55;0;0.324678;0;0;8934.000000;0.000000
0;25;0;0.473421;0;0;2200.000000;0.000000
1;31;0;0.017415;0;0;4076.000000;0.000000
1;37;2;0.233710;0;0;7166.000000;0.000000
0;55;0;0.420954;0;0;3750.000000;0.000000
1;53;10;0.331620;3;1;3500.000000;0.000000
0;57;0;0.337166;0;0;16000.000000;0.000000
1;39;8;0.961171;0;1;9116.000000;1.000000
0;61;0;0.549059;0;0;5900.000000;1.000000
0;78;0;888.000000;0;0;;0.000000
0;58;0;1328.000000;0;0;;2.000000
0;30;0;0.417556;0;0;2904.000000;0.000000
0;27;0;10.000000;0;0;;
0;60;0;0.386186;0;0;9106.000000;1.000000
0;26;0;0.073220;0;1;6500.000000;0.000000
0;56;0;0.494101;0;0;5000.000000;0.000000
0;57;0;0.257227;0;0;15600.000000;0.000000
0;31;0;0.463007;0;0;5500.000000;1.000000
0;62;0;0.372231;0;0;8577.000000;2.000000
0;50;0;0.582908;0;0;8038.000000;2.000000
1;42;3;1296.000000;0;0;;0.000000
0;81;0;0.000678;0;0;5899.000000;0.000000
0;80;0;0.000000;0;0;1600.000000;0.000000
0;73;0;0.111416;0;0;29133.000000;0.000000
1;59;5;3252.000000;1;0;;0.000000
0;41;1;1421.000000;0;0;;0.000000
0;30;0;1513.000000;0;0;;0.000000
1;48;0;0.402904;0;0;8609.000000;4.000000
0;55;0;805.000000;0;0;;0.000000
0;29;0;0.224753;0;0;9000.000000;0.000000
0;69;1;5089.000000;0;0;;0.000000
1;39;1;0.388264;0;0;12900.000000;2.000000
1;47;3;2078.000000;0;1;;0.000000
0;50;0;0.420138;0;0;4200.000000;3.000000
0;25;0;0.020672;0;0;1547.000000;1.000000
1;42;0;2.644356;0;0;1000.000000;1.000000
0;37;0;0.335494;0;0;14500.000000;0.000000
0;71;0;1419.000000;0;0;;
1;62;0;0.434735;0;0;2734.000000;0.000000
0;59;0;2.094595;0;0;2515.000000;0.000000
1;58;1;0.145142;1;0;2500.000000;0.000000
0;61;0;0.000000;0;0;7085.000000;1.000000
1;43;0;1.416861;0;0;3000.000000;0.000000
