city,year,weekofyear,total_cases
sj,1990,18,4
sj,1990,19,5
sj,1990,20,4
sj,1990,21,3
sj,1990,22,6
sj,1990,23,2
sj,1990,24,4
sj,1990,25,5
sj,1990,26,10
sj,1990,27,6
sj,1990,28,8
sj,1990,29,2
sj,1990,30,6
sj,1990,31,17
sj,1990,32,23
sj,1990,33,13
sj,1990,34,21
sj,1990,35,28
sj,1990,36,24
sj,1990,37,20
sj,1990,38,40
sj,1990,39,27
sj,1990,40,42
sj,1990,41,33
sj,1990,42,43
sj,1990,43,37
sj,1990,44,57
sj,1990,45,71
sj,1990,46,44
sj,1990,47,56
sj,1990,48,53
sj,1990,49,52
sj,1990,50,47
sj,1990,51,26
sj,1990,52,27
sj,1991,1,21
sj,1991,2,21
sj,1991,3,26
sj,1991,4,34
sj,1991,5,37
sj,1991,6,17
sj,1991,7,19
sj,1991,8,25
sj,1991,9,18
sj,1991,10,21
sj,1991,11,17
sj,1991,12,17
sj,1991,13,16
sj,1991,14,16
sj,1991,15,15
sj,1991,16,23
sj,1991,17,16
sj,1991,18,17
sj,1991,19,12
sj,1991,20,17
sj,1991,21,10
sj,1991,22,15
sj,1991,23,19
sj,1991,24,21
sj,1991,25,14
sj,1991,26,18
sj,1991,27,13
sj,1991,28,14
sj,1991,29,18
sj,1991,30,23
sj,1991,31,25
sj,1991,32,62
sj,1991,33,60
sj,1991,34,76
sj,1991,35,66
sj,1991,36,64
sj,1991,37,68
sj,1991,38,89
sj,1991,39,92
sj,1991,40,140
sj,1991,41,116
sj,1991,42,142
sj,1991,43,129
sj,1991,44,140
sj,1991,45,140
sj,1991,46,127
sj,1991,47,129
sj,1991,48,169
sj,1991,49,141
sj,1991,50,108
sj,1991,51,78
sj,1991,52,70
sj,1992,1,81
sj,1992,2,104
sj,1992,3,90
sj,1992,4,85
sj,1992,5,55
sj,1992,6,53
sj,1992,7,65
sj,1992,8,33
sj,1992,9,38
sj,1992,10,59
sj,1992,11,40
sj,1992,12,37
sj,1992,13,29
sj,1992,14,30
sj,1992,15,30
sj,1992,16,28
sj,1992,17,23
sj,1992,18,24
sj,1992,19,29
sj,1992,20,26
sj,1992,21,23
sj,1992,22,20
sj,1992,23,19
sj,1992,24,20
sj,1992,25,26
sj,1992,26,29
sj,1992,27,31
sj,1992,28,28
sj,1992,29,26
sj,1992,30,32
sj,1992,31,35
sj,1992,32,33
sj,1992,33,30
sj,1992,34,52
sj,1992,35,59
sj,1992,36,67
sj,1992,37,65
sj,1992,38,74
sj,1992,39,70
sj,1992,40,61
sj,1992,41,53
sj,1992,42,76
sj,1992,43,61
sj,1992,44,57
sj,1992,45,44
sj,1992,46,34
sj,1992,47,47
sj,1992,48,60
sj,1992,49,60
sj,1992,50,53
sj,1992,51,36
sj,1992,52,31
sj,1993,53,30
sj,1993,1,32
sj,1993,2,28
