tucaseid,tulineno,eeincome1,erbmi,erhhch,erincome,erspemch,ertpreat,ertseat,ethgt,etwgt,eudietsoda,eudrink,eueat,euexercise,euexfreq,eufastfd,eufastfdfrq,euffyday,eufdsit,eufinlwgt,eusnap,eugenhth,eugroshp,euhgt,euinclvl,euincome2,eumeat,eumilk,euprpmel,eusoda,eustores,eustreason,eutherm,euwgt,euwic,exincome1
20140101140007,1,-2,33.200001,1,-1,-1,30,2,0,0,-1,2,1,2,-1,2,-1,-1,1,5202086,1,1,1,60,5,-2,1,2,1,-1,2,1,2,170,1,2
20140101140011,1,1,22.700001,3,1,-1,45,14,0,0,-1,2,1,2,-1,1,1,2,1,2.94e+07,2,2,3,63,5,-1,1,2,1,-1,1,2,2,128,2,0
20140101140028,1,2,49.400002,3,5,-1,60,0,0,0,-1,1,2,2,-1,2,-1,-1,1,2.60e+07,2,5,2,62,5,2,-1,-1,2,2,-1,-1,-1,270,2,12
20140101140063,1,-2,-1,3,-1,-1,0,0,0,-1,2,1,2,2,-1,2,-1,-1,1,2728880,2,2,1,64,5,-2,2,2,1,1,2,6,-1,-2,2,2
20140101140168,1,2,31,3,5,-1,65,0,0,0,-1,1,2,1,5,2,-1,-1,1,1.75e+07,1,4,1,69,5,2,1,2,1,2,1,1,2,210,1,0
20140101140559,1,1,30.700001,3,1,1,20,10,0,0,1,1,1,1,2,1,3,1,1,3661280,2,3,2,71,5,-1,-1,-1,2,1,-1,-1,-1,220,2,0
20140101140610,1,1,33.299999,1,1,5,30,5,0,0,-1,1,1,2,-1,1,3,2,1,1.16e+07,2,2,3,65,5,-1,1,2,3,2,2,5,2,200,2,0
20140101140614,1,1,27.5,3,1,-1,30,5,0,0,-1,2,1,1,3,1,1,2,1,1969350,2,2,1,63,5,-1,1,2,1,-1,1,3,2,155,-1,0
20140101140639,1,1,25.799999,3,1,-1,117,10,0,0,-1,2,1,1,6,2,-1,-1,1,6077105,2,3,1,70,5,-1,1,2,1,-1,1,4,2,180,-1,0
20140101140665,1,1,28.299999,3,1,5,80,0,0,0,2,1,2,2,-1,1,2,1,1,5179966,2,1,1,65,5,-1,1,2,1,1,3,1,2,170,-1,0
20140101140685,1,1,40.5,3,1,-1,35,20,0,0,1,1,1,2,-1,1,5,2,1,7151101,2,4,1,70,5,-1,-1,-1,2,1,1,1,-1,282,-1,0
20140101140702,1,2,28,1,5,-1,0,5,2,0,-1,1,1,2,-1,2,-1,-1,1,7357354,2,3,1,56,5,2,1,2,1,2,1,2,2,125,1,0
20140101140725,1,1,27.9,3,1,5,25,10,1,0,-1,1,1,2,-1,1,5,1,1,7657662,2,3,2,77,5,-1,-1,-1,2,2,-1,-1,-1,235,2,0
20140101140759,1,2,30.4,3,5,5,150,5,0,0,1,1,1,2,-1,2,-1,-1,1,2.30e+07,2,3,2,68,5,3,-1,-1,2,1,-1,-1,-1,200,-1,0
20140101140792,1,2,26.799999,3,5,-1,0,300,0,0,-1,2,1,2,-1,1,1,2,1,1.88e+07,2,2,2,68,5,3,-1,-1,2,-1,-1,-1,-1,176,-1,0
20140101140804,1,1,32.900002,3,1,5,80,0,0,0,-1,2,2,2,-1,1,3,1,1,6754359,2,3,2,65,5,-1,-1,-1,2,-1,-1,-1,-1,198,2,0
20140101140836,1,3,25.799999,3,2,-1,105,2,0,0,-1,1,1,1,7,2,-1,-1,1,2229361,2,2,1,60,5,-1,1,2,1,2,1,2,2,132,-1,0
20140101140852,1,1,26.5,3,1,-1,60,5,0,0,-1,2,1,1,4,2,-1,-1,1,2174425,2,2,1,66,5,-1,1,2,1,-1,1,2,1,164,-1,0
20140101140854,1,-2,35.200001,3,-1,-1,30,1,0,0,2,1,1,2,-1,1,2,2,1,4989009,2,2,2,64,5,-2,-1,-1,2,1,-1,-1,-1,205,2,2
20140101140872,1,1,-1,3,1,5,0,10,0,-1,-1,1,1,1,4,2,-1,-1,1,8319956,2,4,3,65,5,-1,1,2,1,2,1,2,1,-3,2,0
