Month,DayofMonth,DayOfWeek,DepTime,UniqueCarrier,Origin,Dest,Distance,dep_delayed_15min
c-8,c-21,c-7,1934,AA,ATL,DFW,732,N
c-4,c-20,c-3,1548,US,PIT,MCO,834,N
c-9,c-2,c-5,1422,XE,RDU,CLE,416,N
c-11,c-25,c-6,1015,OO,DEN,MEM,872,N
c-10,c-7,c-6,1828,WN,MDW,OMA,423,Y
c-8,c-3,c-4,1918,NW,MEM,MCO,683,N
c-1,c-27,c-4,754,DL,PBI,LGA,1035,N
c-4,c-29,c-6,635,OH,MSP,CVG,596,N
c-7,c-28,c-5,735,AA,ONT,DFW,1189,N
c-6,c-20,c-2,2029,OO,DEN,PSC,853,N
c-5,c-21,c-6,1736,DL,BDL,CVG,661,N
c-3,c-5,c-7,1205,WN,PHX,STL,1262,N
c-10,c-6,c-4,2124,AS,LAS,SEA,866,N
c-8,c-20,c-6,737,AA,DFW,SJC,1438,N
c-11,c-10,c-4,1447,UA,DEN,SJC,948,N
c-9,c-20,c-2,1642,MQ,DSM,ORD,299,N
c-9,c-19,c-2,1801,CO,CMH,IAH,986,N
c-7,c-26,c-2,620,DL,ORF,ATL,516,N
c-10,c-14,c-5,1704,OO,SLC,SEA,689,Y
c-10,c-5,c-4,1205,US,PHX,CMH,1671,N
c-8,c-22,c-2,1521,AA,CLT,DFW,936,N
c-6,c-21,c-3,1519,EV,ATL,ILM,377,Y
c-11,c-26,c-6,1417,DL,GSO,ATL,306,N
c-11,c-9,c-3,918,DH,IAD,CMH,299,N
c-12,c-31,c-6,1837,DL,ATL,MSP,906,N
c-4,c-4,c-1,635,WN,SMF,PHX,647,N
c-7,c-3,c-7,1350,AA,FLL,LGA,1076,N
c-4,c-16,c-7,1235,WN,DAL,AUS,189,N
c-5,c-31,c-3,1513,MQ,ORD,SYR,607,N
c-4,c-18,c-1,619,AA,ORD,LAX,1745,N
c-8,c-30,c-3,610,YV,ITO,HNL,216,N
c-5,c-9,c-1,1327,AA,DFW,ORF,1213,N
c-1,c-20,c-5,1130,DL,ORD,CVG,264,N
c-12,c-3,c-7,1653,EV,ATL,MYR,317,Y
c-10,c-1,c-6,1454,DL,SLC,PDX,630,N
c-3,c-24,c-4,2303,US,CLT,CHS,168,Y
c-5,c-6,c-5,1728,WN,SAN,SMF,480,Y
c-5,c-5,c-4,650,EV,ROA,ATL,357,N
c-1,c-28,c-5,2046,MQ,LGA,DTW,501,N
c-7,c-9,c-6,747,MQ,ORD,MEM,491,N
c-9,c-20,c-2,707,MQ,SFO,SNA,372,N
c-7,c-15,c-5,1144,F9,DEN,PHL,1557,N
c-3,c-17,c-4,823,DH,GSP,IAD,383,N
c-4,c-18,c-1,1200,WN,SEA,PHX,1107,N
c-9,c-8,c-5,809,DL,DAB,ATL,366,N
c-11,c-10,c-4,1825,WN,SJC,LAX,308,N
c-3,c-10,c-4,742,UA,DFW,ORD,802,N
c-4,c-12,c-2,1913,MQ,LIT,DFW,304,N
c-10,c-3,c-2,716,UA,LAX,SEA,954,N
c-10,c-20,c-5,2312,AQ,OAK,LAS,407,Y
c-9,c-9,c-6,1520,YV,SEA,PHX,1107,Y
c-2,c-21,c-2,555,YV,COS,PHX,551,N
c-7,c-24,c-7,1050,OH,OKC,CVG,756,N
c-8,c-14,c-1,1519,TZ,PHX,OGG,2845,N
c-2,c-15,c-2,1527,MQ,DFW,ABI,158,N
c-3,c-17,c-4,551,UA,GRR,ORD,137,N
c-7,c-21,c-4,1405,HP,SJC,LAS,386,N
c-12,c-1,c-4,1854,B6,JFK,PHX,2153,N
c-9,c-5,c-2,1831,FL,ATL,MSP,906,Y
c-6,c-7,c-3,1020,WN,BOI,SLC,291,N
c-10,c-28,c-5,658,CO,ORD,EWR,719,N
c-1,c-18,c-3,1830,DL,ATL,MEM,332,N
c-4,c-19,c-2,1519,DL,MCI,ATL,692,N
c-1,c-27,c-5,1435,WN,BWI,PVD,328,N
c-3,c-26,c-6,1310,AA,BHM,DFW,597,N
c-4,c-29,c-5,1928,MQ,CRP,DFW,354,N
c-10,c-3,c-2,827,F9,DEN,SFO,967,N
c-7,c-22,c-5,1955,OH,BOS,RDU,612,N
c-7,c-25,c-2,1723,WN,DEN,MDW,895,N
c-9,c-4,c-7,1645,WN,SAT,DAL,248,N
c-4,c-8,c-6,631,XE,PHL,CLE,363,N
c-6,c-5,c-7,1436,US,ORF,PHL,211,N
c-6,c-6,c-2,1932,UA,DEN,DTW,1123,Y
c-7,c-2,c-7,700,NW,MSP,LAS,1300,N
c-12,c-10,c-7,813,WN,DAL,SAT,248,N
c-12,c-14,c-4,1809,WN,STL,SLC,1156,N
c-12,c-15,c-4,1230,WN,BOI,RNO,335,N
c-10,c-6,c-5,2010,OH,LGA,JAX,834,Y
c-5,c-15,c-1,1430,OO,CIC,SFO,153,N
c-5,c-2,c-2,1350,WN,AUS,HRL,273,N
c-4,c-27,c-4,557,AA,LGA,ORD,733,N
c-11,c-29,c-2,610,AA,SLC,ORD,1249,N
c-1,c-24,c-2,1344,XE,IAH,JAN,351,N
c-6,c-25,c-7,555,OO,COD,SLC,298,N
c-10,c-22,c-6,1248,HA,HNL,SMF,2462,N
c-6,c-16,c-4,1345,WN,RNO,PDX,444,Y
c-10,c-18,c-2,1956,AA,ORD,EWR,719,N
c-3,c-12,c-7,1250,MQ,BNA,ORD,409,Y
c-12,c-25,c-7,1020,WN,TPA,ISP,1034,N
c-2,c-14,c-2,907,NW,DFW,DTW,987,N
c-10,c-27,c-4,1907,F9,DEN,DFW,641,N
c-1,c-28,c-5,2135,WN,BNA,TPA,612,N
c-5,c-9,c-1,758,AA,MIA,JFK,1090,N
c-12,c-16,c-6,955,OO,SLC,FCA,532,N
c-5,c-29,c-1,1709,DL,ATL,PIT,526,N
c-3,c-13,c-7,1510,OH,EVV,CVG,170,N
c-5,c-10,c-3,1514,XE,PNS,IAH,489,N
c-1,c-1,c-6,1100,WN,LAS,MDW,1521,N
c-7,c-21,c-4,1046,WN,SAN,SJC,417,Y
c-1,c-14,c-6,937,US,EWR,CLT,529,N
c-7,c-16,c-6,1003,AA,DFW,AUS,190,N
c-2,c-3,c-5,1920,WN,LAX,PHX,370,Y
c-4,c-16,c-7,1913,US,CLT,BUF,546,N
c-12,c-24,c-6,1819,CO,IAH,OKC,395,N
c-7,c-26,c-3,1152,WN,PHL,LAS,2176,N
c-2,c-19,c-7,1011,UA,DEN,IAH,861,N
c-9,c-7,c-4,1922,AS,SEA,ANC,1449,Y
c-3,c-11,c-5,1735,CO,BWI,IAH,1235,N
c-8,c-28,c-1,831,FL,RSW,ATL,515,N
c-6,c-4,c-7,2126,UA,DEN,LAX,862,N
c-12,c-13,c-3,1953,YV,JFK,IAD,228,Y
c-10,c-24,c-2,1557,DL,ATL,SAN,1891,N
c-3,c-22,c-2,605,AS,ANC,BET,399,N
c-5,c-8,c-7,1004,AS,ONT,SEA,956,N
c-4,c-25,c-2,1806,AS,OAK,SEA,671,N
c-4,c-14,c-5,952,US,CLT,FLL,631,N
c-12,c-13,c-3,1547,MQ,LAX,SBA,89,N
c-10,c-13,c-4,1752,OO,MCI,ORD,403,N
c-12,c-9,c-6,945,YV,PHX,GJT,438,N
c-12,c-15,c-4,1241,XE,CRP,IAH,201,Y
c-8,c-7,c-7,1427,OO,SNA,LAX,36,N
c-9,c-13,c-3,1650,WN,AMA,DAL,324,N
c-3,c-10,c-5,848,UA,MSP,DEN,680,N
c-3,c-30,c-4,2120,AA,LAX,MIA,2342,N
c-4,c-11,c-2,805,EV,STL,SLC,1156,N
c-12,c-23,c-6,604,UA,SFO,DEN,967,N
c-1,c-31,c-2,1431,OO,DEN,BZN,525,N
c-9,c-16,c-5,843,AA,ORD,DEN,888,Y
c-5,c-23,c-1,1540,OH,CID,CVG,419,N
c-11,c-26,c-7,646,OO,ORD,FWA,157,N
c-8,c-7,c-7,933,DL,RSW,ATL,515,N
c-8,c-17,c-3,1317,MQ,ORD,SYR,607,N
c-10,c-22,c-7,1417,WN,BWI,BDL,283,N
c-10,c-14,c-5,713,NW,DTW,MCO,957,N
c-12,c-28,c-4,1926,EV,ATL,CLE,554,N
c-9,c-4,c-7,1733,AS,DCA,SEA,2329,N
c-3,c-17,c-5,1657,CO,PHX,IAH,1009,Y
c-3,c-4,c-6,1725,AS,LGB,SEA,965,N
c-3,c-4,c-5,645,MQ,SAN,LAX,109,N
c-5,c-26,c-5,1636,UA,ORD,BDL,783,N
c-1,c-2,c-7,1717,UA,DEN,BOI,649,N
c-2,c-24,c-5,830,UA,ONT,DEN,819,N
c-1,c-22,c-7,1954,DL,ATL,GSO,306,Y
c-6,c-10,c-6,1619,EV,GSP,CVG,317,Y
c-9,c-16,c-5,902,UA,SNA,ORD,1726,N
c-6,c-26,c-7,1440,WN,MAF,DAL,319,N
c-5,c-2,c-1,1142,DL,ATL,GSP,153,N
c-10,c-6,c-4,1340,MQ,CRP,DFW,354,N
c-2,c-4,c-5,1050,WN,LAS,OAK,407,N
c-6,c-1,c-4,1942,DL,ATL,IAD,533,Y
c-10,c-29,c-7,912,NW,MSP,LAX,1536,N
c-9,c-11,c-1,2010,UA,LAX,LAS,236,N
c-7,c-13,c-3,1335,CO,LAS,IAH,1222,Y
c-4,c-11,c-2,1851,OO,DEN,MEM,872,N
c-5,c-18,c-3,1217,NW,DTW,LAN,74,N
c-7,c-19,c-3,2105,TZ,MDW,DFW,797,N
c-8,c-26,c-6,1634,AA,MFE,DFW,468,N
c-8,c-22,c-2,553,YV,BMI,ORD,116,N
c-7,c-25,c-2,1407,F9,MSP,DEN,680,N
c-6,c-24,c-6,626,MQ,SAN,SJC,417,N
c-4,c-27,c-4,2051,OO,ORD,FWA,157,N
c-10,c-13,c-4,1132,AA,MFE,DFW,468,N
c-10,c-1,c-6,1112,AS,PDX,LAS,762,N
c-11,c-18,c-5,1423,OO,LAX,SJC,308,N
c-10,c-28,c-5,1322,DL,ATL,STL,483,Y
c-6,c-1,c-4,650,NW,LAS,MSP,1300,N
c-4,c-26,c-3,1210,OO,IPL,YUM,58,N
c-8,c-30,c-2,1243,MQ,ORD,MKE,67,N
c-9,c-22,c-4,1554,UA,SFO,SAN,447,N
c-11,c-18,c-5,1955,MQ,GRB,MQT,134,N
c-8,c-5,c-5,1929,UA,LAX,SFO,337,N
c-12,c-1,c-4,1913,WN,SJC,ONT,333,N
c-11,c-13,c-1,1528,OO,SLC,SJC,585,N
c-2,c-27,c-7,1827,OO,DEN,ELP,563,N
c-4,c-18,c-1,1117,DL,AUS,ATL,813,N
c-4,c-22,c-6,1438,OH,MCI,MCO,1072,N
c-4,c-28,c-4,2037,AS,SEA,LAX,954,N
c-6,c-6,c-2,1736,OO,FAR,ORD,557,N
c-4,c-11,c-1,1127,HP,LAS,DEN,629,N
c-12,c-3,c-6,1625,XE,IAH,RDU,1043,N
c-7,c-19,c-2,1708,MQ,DFW,LBB,282,N
c-12,c-28,c-4,1753,WN,HOU,JAN,359,Y
c-6,c-11,c-7,1829,OO,MTJ,DEN,197,N
c-11,c-11,c-5,1509,NW,DTW,JAX,814,N
c-10,c-8,c-6,1056,US,CLT,PHL,448,N
c-6,c-29,c-4,2052,XE,DCA,EWR,199,N
