Month,Year,Bust,Waist,Hips,Height,Weight
December,1953,91,61,91,165,54
March,1954,86,61,89,168,54
July,1955,91,61,91,166,52
December,1955,91,61,91,166,52
July,1956,91,61,86,157,48
August,1956,94,61,91,170,55
October,1956,91,61,91,166,52
November,1956,99,56,91,160,58
December,1956,89,58,89,157,48
January,1957,91,64,91,165,54
March,1957,91,51,91,170,54
November,1957,86,56,84,157,44
May,1958,97,53,86,175,56
June,1958,102,51,91,165,54
November,1958,86,57,86,165,54
December,1958,86,61,86,169,54
February,1959,102,56,94,174,61
April,1959,91,61,91,165,57
May,1959,91,61,91,168,56
July,1959,91,61,91,160,48
September,1959,86,61,86,168,50
October,1959,99,64,94,173,59
November,1959,91,56,91,161,52
December,1959,89,51,89,163,50
February,1960,94,58,91,170,59
March,1960,94,61,91,173,57
April,1960,97,58,93,163,51
May,1960,91,58,91,165,57
June,1960,91,51,91,157,49
July,1960,94,56,89,165,50
August,1960,86,58,89,163,54
September,1960,97,51,89,157,48
October,1960,86,53,86,165,52
November,1960,84,46,81,157,45
December,1960,94,58,89,168,54
January,1961,94,53,91,165,50
February,1961,91,61,91,170,54
March,1961,94,56,91,163,53
April,1961,91,61,91,170,57
May,1961,91,56,89,160,49
June,1961,91,56,86,163,48
July,1961,89,58,89,175,57
September,1961,97,56,91,165,55
October,1961,97,61,94,163,54
November,1961,91,56,89,170,54
December,1961,89,56,89,169,52
January,1962,97,56,86,165,51
February,1962,91,58,89,163,53
March,1962,99,58,89,155,47
April,1962,86,53,86,157,46
May,1962,94,58,91,174,57
June,1962,91,56,91,164,53
July,1962,99,58,99,170,59
August,1962,99,58,89,165,54
September,1962,91,46,86,152,45
October,1962,91,64,91,168,57
November,1962,99,56,91,166,56
December,1962,91,51,86,157,46
January,1963,86,56,84,155,45
February,1963,97,56,91,165,54
March,1963,97,56,91,170,57
April,1963,94,61,91,174,62
May,1963,91,58,91,163,50
June,1963,86,58,86,168,52
July,1963,99,61,91,165,56
August,1963,86,56,89,155,52
September,1963,89,56,89,160,50
October,1963,94,66,94,183,68
November,1963,91,53,89,168,54
December,1963,97,56,94,163,54
January,1964,89,56,89,157,49
February,1964,91,53,91,168,48
March,1964,86,64,86,168,54
April,1964,94,61,91,165,54
May,1964,91,58,91,165,53
June,1964,86,58,86,159,50
July,1964,99,56,89,157,50
August,1964,89,56,89,163,51
September,1964,91,58,91,170,54
October,1964,104,64,97,168,66
November,1964,89,58,89,160,53
December,1964,91,61,91,163,51
January,1965,89,56,86,165,50
February,1965,91,58,91,165,52
March,1965,91,58,91,174,59
April,1965,86,51,86,150,44
May,1965,91,56,91,160,48
June,1965,86,56,89,166,54
July,1965,91,58,89,165,54
August,1965,86,56,91,168,52
September,1965,86,48,86,165,51
October,1965,91,61,91,168,53
November,1965,89,56,89,170,54
December,1965,94,58,91,173,52
January,1966,91,56,86,160,45
February,1966,97,58,91,163,54
March,1966,86,48,89,157,48
April,1966,89,56,90,150,44
May,1966,94,61,94,164,54
June,1966,86,56,85,152,45
July,1966,86,58,86,165,49
September,1966,94,61,93,170,59
October,1966,99,61,91,165,57
November,1966,89,58,89,173,60
December,1966,89,56,89,160,48
January,1967,89,56,86,157,45
February,1967,89,51,86,163,49
March,1967,99,61,91,157,50
April,1967,89,58,86,152,45
May,1967,89,58,89,163,49
June,1967,99,62,91,168,58
July,1967,93,51,89,168,53
August,1967,86,53,84,157,44
September,1967,91,53,89,165,49
October,1967,102,64,89,178,61
November,1967,90,58,86,168,52
December,1967,86,58,86,152,45
January,1968,89,58,91,165,54
February,1968,90,56,89,170,52
March,1968,97,58,89,164,50
April,1968,89,61,89,168,54
May,1968,84,53,89,157,42
June,1968,86,55,86,163,49
July,1968,86,58,86,165,45
August,1968,91,56,89,163,50
September,1968,91,61,89,163,55
October,1968,86,56,86,165,49
November,1968,91,61,91,165,54
December,1968,99,61,91,160,54
January,1969,91,61,94,170,59
February,1969,93,53,91,168,54
March,1969,91,61,86,164,54
April,1969,89,58,86,163,48
May,1969,91,61,89,163,50
June,1969,90,61,86,160,50
July,1969,91,61,86,157,48
August,1969,91,62,91,160,51
September,1969,91,58,88,160,50
October,1969,86,58,91,163,53
November,1969,89,58,91,168,52
December,1969,86,58,86,157,48
January,1970,94,61,91,163,54
February,1970,89,58,89,160,52
March,1970,89,61,89,170,54
April,1970,93,61,89,168,54
May,1970,91,56,86,164,48
June,1970,89,61,89,165,50
July,1970,89,64,91,168,54
August,1970,89,61,91,168,52
September,1970,89,61,91,166,54
October,1970,91,64,91,166,52
November,1970,99,66,94,175,64
December,1970,95,62,89,165,54
January,1971,91,57,86,171,49
February,1971,86,58,86,163,49
March,1971,94,64,91,160,54
April,1971,90,61,90,171,57
May,1971,90,58,90,173,56
June,1971,90,58,90,166,53
July,1971,81,58,85,163,47
August,1971,89,58,89,166,50
September,1971,94,56,89,170,54
October,1971,91,61,91,180,60
November,1971,91,64,86,164,54
December,1971,94,61,91,165,54
January,1972,91,61,89,173,54
February,1972,91,64,91,164,55
March,1972,93,60,89,160,49
April,1972,86,56,86,173,52
May,1972,89,56,89,170,50
June,1972,91,61,91,170,55
July,1972,89,64,89,168,53
August,1972,90,58,88,157,48
September,1972,98,64,99,185,64
October,1972,102,56,94,173,57
