BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.366666667,1,9,
1,1300,70053,68400,HomeImp,Other,7,0,2,121.83333333,0,14,
1,1500,13500,16700,HomeImp,Other,4,0,0,149.46666667,1,10,
1,1500,,,,,,,,,,,
0,1700,97800,112000,HomeImp,Office,3,0,0,93.333333333,0,14,
1,1700,30548,40320,HomeImp,Other,9,0,0,101.46600191,1,8,37.113613558
1,1800,48649,57037,HomeImp,Other,5,3,2,77.1,1,17,
1,1800,28502,43034,HomeImp,Other,11,0,0,88.766029879,0,8,36.884894093
1,2000,32700,46740,HomeImp,Other,3,0,2,216.93333333,1,12,
1,2000,,62250,HomeImp,Sales,16,0,0,115.8,0,13,
1,2000,22608,,,,18,,,,,,
1,2000,20627,29800,HomeImp,Office,11,0,1,122.53333333,1,9,
1,2000,45000,55000,HomeImp,Other,3,0,0,86.066666667,2,25,
0,2000,64536,87400,,Mgr,2.5,0,0,147.13333333,0,24,
1,2100,71000,83850,HomeImp,Other,8,0,1,123,0,16,
1,2200,24280,34687,HomeImp,Other,,0,1,300.86666667,0,8,
1,2200,90957,102600,HomeImp,Mgr,7,2,6,122.9,1,22,
1,2200,23030,,,,19,,,,,,3.7113122995
1,2300,28192,40150,HomeImp,Other,4.5,0,0,54.6,1,16,
0,2300,102370,120953,HomeImp,Office,2,0,0,90.992533467,0,13,31.588503178
1,2300,37626,46200,HomeImp,Other,3,0,1,122.26666667,1,14,
1,2400,50000,73395,HomeImp,ProfExe,5,1,0,,1,0,
1,2400,28000,40800,HomeImp,Mgr,12,0,0,67.2,2,22,
1,2400,18000,,HomeImp,Mgr,22,,2,121.73333333,0,10,
1,2400,,17180,HomeImp,Other,,0,0,14.566666667,3,4,
1,2400,34863,47471,HomeImp,Mgr,12,0,0,70.491080032,1,21,38.263600731
0,2400,98449,117195,HomeImp,Office,4,0,0,93.811774855,0,13,29.681827045
1,2500,15000,20200,HomeImp,,18,0,0,136.06666667,1,19,
1,2500,25116,36350,HomeImp,Other,10,1,2,276.96666667,0,9,
0,2500,7229,44516,HomeImp,Self,,0,0,208,0,12,
0,2500,71408,78600,HomeImp,ProfExe,8,0,0,255.73333333,0,12,
1,2800,50795,63100,HomeImp,Self,26,2,15,145.63333333,3,45,
1,2800,4000,60850,HomeImp,Other,16,4,0,112.63333333,2,9,
1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.33333333,2,26,
0,2900,103949,112505,HomeImp,Office,1,0,0,96.10232967,0,13,30.051136286
0,2900,104373,120702,HomeImp,Office,2,0,0,101.54029753,0,13,29.915859028
1,2900,7750,67996,HomeImp,Other,16,3,0,122.20466276,2,8,36.211347998
1,2900,61962,70915,DebtCon,Mgr,2,0,0,282.80165924,3,37,49.20639579
0,3000,104570,121729,HomeImp,Office,2,0,0,85.884371895,0,14,32.059783267
1,3000,7000,20300,HomeImp,Other,3,0,0,50.8,5,9,
1,3000,,8800,HomeImp,Other,2,0,1,77.766666667,0,3,
1,3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,
1,3000,119826,193500,HomeImp,Other,8,0,0,130.03335846,0,27,
1,3000,20000,29750,DebtCon,Other,2,0,0,187.06666667,0,12,
1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,
1,3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,
1,3000,47000,82700,HomeImp,ProfExe,10,0,1,262.16666667,5,26,
1,3000,34542,45900,HomeImp,Mgr,8.5,0,2,62.366666667,0,10,
0,3000,58000,71500,HomeImp,Mgr,10,,2,211.93333333,0,25,
0,3000,47000,56400,HomeImp,Office,21,0,0,201.86666667,0,20,
1,3100,39589,36100,HomeImp,Other,1.5,0,0,153.16666667,1,14,
0,3100,,70400,,,,,,,,,
0,3200,67848,74566,HomeImp,Mgr,10,,1,206.42660206,0,25,40.115677278
1,3200,48603,61000,HomeImp,ProfExe,28,0,4,122.03333333,1,25,
1,3200,27200,40834,HomeImp,Other,,0,0,298.13156403,0,7,35.553538789
1,3200,54000,64850,HomeImp,Other,1,0,0,121.86666667,3,21,
0,3200,74864,87266,HomeImp,ProfExe,7,0,0,250.63126922,0,12,42.909997351
1,3200,23159,,HomeImp,Mgr,20,,2,117.80574784,0,9,0.5244992154
1,3300,126541,134527,HomeImp,Sales,9,1,0,139,0,36,
1,3300,130518,164317,DebtCon,Other,9,0,6,192.28914897,0,33,35.73055919
1,3400,37000,52000,HomeImp,Office,2,0,1,183.29991561,0,6,
1,3500,23200,38666,HomeImp,Other,11,0,0,162.36666667,0,14,
1,3500,19400,20494,HomeImp,Other,5,0,0,95.933333333,0,9,
1,3600,61584,61800,HomeImp,ProfExe,10,,,,,,
1,3600,41900,52490,HomeImp,Mgr,3,0,0,72.033333333,2,4,
0,3600,83700,111800,HomeImp,ProfExe,6,0,0,192.73333333,1,28,
0,3600,61327,76484,HomeImp,Mgr,9,,2,202.51077515,0,25,41.516389699
0,3600,100693,114743,HomeImp,Office,6,0,0,88.470452135,0,14,29.393543382
1,3600,48507,61000,DebtCon,Office,13,1,4,97.4,0,17,
0,3600,52337,63989,HomeImp,Office,20,0,0,204.27249884,0,20,20.470915508
1,3700,17857,21144,HomeImp,Other,5,0,0,129.71732313,1,9,26.634347518
1,3800,19135,97692,HomeImp,Mgr,1.6,1,6,252.63333333,1,25,
0,3800,51180,63459,HomeImp,Office,20,0,0,203.75153358,0,20,20.067042051
0,3800,,73189,,,,,,,,,22.253949156
0,3800,11543,46045,HomeImp,Self,,0,0,204.64799167,0,11,42.173165882
1,3900,29896,45960,HomeImp,Other,11,0,0,146.12324219,0,14,24.478881191
1,3900,14500,22092,HomeImp,Other,3.5,0,1,150.3,5,8,
0,3900,52825,63000,DebtCon,ProfExe,8,0,4,171.66666667,1,31,
0,3900,102143,118742,HomeImp,Office,2,0,0,85.277365579,0,13,29.343921089
1,3900,21200,39000,DebtCon,Mgr,4,0,1,86.566666667,2,14,
0,4000,105164,112774,HomeImp,Office,1,0,0,94.724874167,0,13,29.390928055
0,4000,54543,61777,HomeImp,Office,21,0,0,205.58668003,0,19,21.806563464
1,4000,,80609,HomeImp,Other,1.5,0,2,126.53333333,3,12,
1,4000,26572,31960,HomeImp,Office,11,0,0,117.79510387,0,8,41.286491948
