Time,Users
1/1/17 0:00,34002
1/1/17 1:00,37947
1/1/17 2:00,41517
1/1/17 3:00,44476
1/1/17 4:00,46234
1/1/17 5:00,48842
1/1/17 6:00,52245
1/1/17 7:00,55245
1/1/17 8:00,57725
1/1/17 9:00,59534
1/1/17 10:00,59285
1/1/17 11:00,60425
1/1/17 12:00,54476
1/1/17 13:00,48954
1/1/17 14:00,43710
1/1/17 15:00,40730
1/1/17 16:00,35170
1/1/17 17:00,32073
1/1/17 18:00,29570
1/1/17 19:00,30493
1/1/17 20:00,26472
1/1/17 21:00,25408
1/1/17 22:00,26367
1/1/17 23:00,30011
1/2/17 0:00,34581
1/2/17 1:00,39233
1/2/17 2:00,42546
1/2/17 3:00,45497
1/2/17 4:00,48373
1/2/17 5:00,51135
1/2/17 6:00,52271
1/2/17 7:00,57815
1/2/17 8:00,60385
1/2/17 9:00,64077
1/2/17 10:00,61614
1/2/17 11:00,60249
1/2/17 12:00,57019
1/2/17 13:00,51527
1/2/17 14:00,48996
1/2/17 15:00,41202
1/2/17 16:00,37652
1/2/17 17:00,40607
1/2/17 18:00,31857
1/2/17 19:00,29656
1/2/17 20:00,27558
1/2/17 21:00,28062
1/2/17 22:00,29917
1/2/17 23:00,31512
1/3/17 0:00,34801
1/3/17 1:00,38149
1/3/17 2:00,41146
1/3/17 3:00,45288
1/3/17 4:00,48945
1/3/17 5:00,51877
1/3/17 6:00,55053
1/3/17 7:00,57817
1/3/17 8:00,60496
1/3/17 9:00,61757
1/3/17 10:00,60936
1/3/17 11:00,59711
1/3/17 12:00,56728
1/3/17 13:00,51029
1/3/17 14:00,45421
1/3/17 15:00,39413
1/3/17 16:00,35218
1/3/17 17:00,32766
1/3/17 18:00,30249
1/3/17 19:00,27998
1/3/17 20:00,26237
1/3/17 21:00,26828
1/3/17 22:00,29080
1/3/17 23:00,30973
1/4/17 0:00,34179
1/4/17 1:00,38660
1/4/17 2:00,41127
1/4/17 3:00,45772
1/4/17 4:00,50634
1/4/17 5:00,52886
1/4/17 6:00,55634
1/4/17 7:00,57907
1/4/17 8:00,57908
1/4/17 9:00,57904
1/4/17 10:00,58182
1/4/17 11:00,58546
1/4/17 12:00,54867
1/4/17 13:00,49753
1/4/17 14:00,43711
1/4/17 15:00,38699
1/4/17 16:00,34538
1/4/17 17:00,31954
1/4/17 18:00,29478
1/4/17 19:00,27257
1/4/17 20:00,25483
1/4/17 21:00,26457
1/4/17 22:00,29205
1/4/17 23:00,30899
1/5/17 0:00,33821
1/5/17 1:00,37426
1/5/17 2:00,40515
1/5/17 3:00,44825
1/5/17 4:00,48796
1/5/17 5:00,51269
1/5/17 6:00,53758
1/5/17 7:00,56423
1/5/17 8:00,58690
1/5/17 9:00,62384
1/5/17 10:00,59144
1/5/17 11:00,57544
1/5/17 12:00,55113
1/5/17 13:00,50531
1/5/17 14:00,48505
1/5/17 15:00,41355
1/5/17 16:00,37994
1/5/17 17:00,40524
1/5/17 18:00,31541
1/5/17 19:00,28267
1/5/17 20:00,26498
1/5/17 21:00,27021
1/5/17 22:00,30157
1/5/17 23:00,33023
1/6/17 0:00,36834
1/6/17 1:00,41865
1/6/17 2:00,43075
1/6/17 3:00,47646
1/6/17 4:00,51193
1/6/17 5:00,53843
1/6/17 6:00,56055
1/6/17 7:00,59015
1/6/17 8:00,60705
1/6/17 9:00,60797
1/6/17 10:00,59327
1/6/17 11:00,58752
1/6/17 12:00,56028
1/6/17 13:00,51573
1/6/17 14:00,45526
1/6/17 15:00,40877
1/6/17 16:00,35885
1/6/17 17:00,32615
1/6/17 18:00,30122
1/6/17 19:00,28248
1/6/17 20:00,26546
1/6/17 21:00,25940
1/6/17 22:00,28005
1/6/17 23:00,33281
1/7/17 0:00,38743
1/7/17 1:00,43086
1/7/17 2:00,45393
1/7/17 3:00,47898
1/7/17 4:00,50567
1/7/17 5:00,53678
1/7/17 6:00,56599
1/7/17 7:00,59548
1/7/17 8:00,60964
1/7/17 9:00,60604
1/7/17 10:00,60453
1/7/17 11:00,58345
1/7/17 12:00,54814
1/7/17 13:00,49690
1/7/17 14:00,44353
1/7/17 15:00,38571
1/7/17 16:00,34585
1/7/17 17:00,31444
1/7/17 18:00,29567
1/7/17 19:00,27515
1/7/17 20:00,26088
1/7/17 21:00,25695
1/7/17 22:00,27581
1/7/17 23:00,32346
1/8/17 0:00,37717
1/8/17 1:00,41638
1/8/17 2:00,44589
1/8/17 3:00,46495
1/8/17 4:00,49452
1/8/17 5:00,52212
1/8/17 6:00,55858
1/8/17 7:00,59235
1/8/17 8:00,61412
1/8/17 9:00,65268
1/8/17 10:00,61976
1/8/17 11:00,61240
1/8/17 12:00,54179
1/8/17 13:00,48028
1/8/17 14:00,44258
1/8/17 15:00,38883
1/8/17 16:00,34844
1/8/17 17:00,38158
1/8/17 18:00,30068
1/8/17 19:00,29741
1/8/17 20:00,27314
1/8/17 21:00,29328
1/8/17 22:00,31901
1/8/17 23:00,29896
1/9/17 0:00,30508
1/9/17 1:00,32584
1/9/17 2:00,34722
1/9/17 3:00,40211
1/9/17 4:00,45820
1/9/17 5:00,48938
1/9/17 6:00,52122
1/9/17 7:00,55936
1/9/17 8:00,57803
1/9/17 9:00,57942
1/9/17 10:00,56740
1/9/17 11:00,55001
1/9/17 12:00,51233
1/9/17 13:00,46065
1/9/17 14:00,40160
1/9/17 15:00,35456
1/9/17 16:00,32057
1/9/17 17:00,30647
1/9/17 18:00,28845
1/9/17 19:00,27403
1/9/17 20:00,27184
1/9/17 21:00,28626
1/9/17 22:00,31409
1/9/17 23:00,28639
1/10/17 0:00,28663
1/10/17 1:00,30444
1/10/17 2:00,33398
1/10/17 3:00,39156
1/10/17 4:00,44986
1/10/17 5:00,48414
1/10/17 6:00,50251
1/10/17 7:00,53662
1/10/17 8:00,54930
1/10/17 9:00,55071
1/10/17 10:00,53848
1/10/17 11:00,52173
1/10/17 12:00,48975
1/10/17 13:00,43737
1/10/17 14:00,38447
1/10/17 15:00,34271
1/10/17 16:00,31618
1/10/17 17:00,29726
1/10/17 18:00,28499
1/10/17 19:00,27194
1/10/17 20:00,27215
1/10/17 21:00,28211
1/10/17 22:00,30808
1/10/17 23:00,27598
1/11/17 0:00,27699
1/11/17 1:00,29410
1/11/17 2:00,32769
1/11/17 3:00,40303
1/11/17 4:00,47384
1/11/17 5:00,50666
1/11/17 6:00,52701
1/11/17 7:00,55292
1/11/17 8:00,55745
1/11/17 9:00,58585
1/11/17 10:00,55398
1/11/17 11:00,53493
1/11/17 12:00,50080
1/11/17 13:00,44836
1/11/17 14:00,42307
1/11/17 15:00,35888
1/11/17 16:00,34639
1/11/17 17:00,38242
1/11/17 18:00,30998
1/11/17 19:00,28926
1/11/17 20:00,29534
1/11/17 21:00,30614
1/11/17 22:00,32380
1/11/17 23:00,28674
1/12/17 0:00,28323
1/12/17 1:00,30040
1/12/17 2:00,33208
1/12/17 3:00,40020
1/12/17 4:00,45985
1/12/17 5:00,49514
1/12/17 6:00,52217
1/12/17 7:00,55332
1/12/17 8:00,57031
1/12/17 9:00,57091
1/12/17 10:00,55798
1/12/17 11:00,53937
1/12/17 12:00,50281
1/12/17 13:00,45244
1/12/17 14:00,39603
1/12/17 15:00,35341
1/12/17 16:00,32357
1/12/17 17:00,30816
1/12/17 18:00,29200
1/12/17 19:00,27609
1/12/17 20:00,28729
1/12/17 21:00,29729
1/12/17 22:00,31925
1/12/17 23:00,29213
1/13/17 0:00,29345
1/13/17 1:00,32893
1/13/17 2:00,34372
1/13/17 3:00,42762
1/13/17 4:00,47548
1/13/17 5:00,51344
1/13/17 6:00,53485
1/13/17 7:00,56371
1/13/17 8:00,58125
1/13/17 9:00,58292
1/13/17 10:00,57643
1/13/17 11:00,56983
1/13/17 12:00,54326
1/13/17 13:00,49450
1/13/17 14:00,43602
1/13/17 15:00,38663
1/13/17 16:00,34913
1/13/17 17:00,32391
1/13/17 18:00,30897
1/13/17 19:00,29327
1/13/17 20:00,28751
1/13/17 21:00,28347
1/13/17 22:00,31147
1/13/17 23:00,35312
1/14/17 0:00,39466
1/14/17 1:00,42174
1/14/17 2:00,44113
1/14/17 3:00,46761
1/14/17 4:00,50762
1/14/17 5:00,54089
1/14/17 6:00,57805
1/14/17 7:00,60355
1/14/17 8:00,61813
1/14/17 9:00,65160
1/14/17 10:00,61589
1/14/17 11:00,58902
1/14/17 12:00,54707
1/14/17 13:00,49759
1/14/17 14:00,47010
1/14/17 15:00,39926
1/14/17 16:00,37148
1/14/17 17:00,41282
1/14/17 18:00,32535
1/14/17 19:00,30093
1/14/17 20:00,28821
1/14/17 21:00,28654
1/14/17 22:00,31354
1/14/17 23:00,36251
1/15/17 0:00,41293
1/15/17 1:00,43878
1/15/17 2:00,45805
1/15/17 3:00,48108
1/15/17 4:00,50203
1/15/17 5:00,55418
1/15/17 6:00,59612
1/15/17 7:00,62661
1/15/17 8:00,64489
1/15/17 9:00,64616
1/15/17 10:00,63538
1/15/17 11:00,63001
1/15/17 12:00,55209
1/15/17 13:00,47652
1/15/17 14:00,40719
1/15/17 15:00,37506
1/15/17 16:00,32974
1/15/17 17:00,31557
1/15/17 18:00,30224
1/15/17 19:00,31263
1/15/17 20:00,30396
1/15/17 21:00,31115
1/15/17 22:00,32977
1/15/17 23:00,28922
1/16/17 0:00,28821
1/16/17 1:00,29623
1/16/17 2:00,32443
1/16/17 3:00,38113
1/16/17 4:00,45975
1/16/17 5:00,49127
1/16/17 6:00,52622
1/16/17 7:00,57425
1/16/17 8:00,60400
1/16/17 9:00,60957
1/16/17 10:00,60403
1/16/17 11:00,58002
1/16/17 12:00,52850
1/16/17 13:00,46275
1/16/17 14:00,39367
1/16/17 15:00,34375
1/16/17 16:00,32131
1/16/17 17:00,30545
1/16/17 18:00,29027
1/16/17 19:00,27974
1/16/17 20:00,28888
1/16/17 21:00,29973
1/16/17 22:00,31903
1/16/17 23:00,27760
1/17/17 0:00,27272
1/17/17 1:00,29112
1/17/17 2:00,32438
1/17/17 3:00,39266
1/17/17 4:00,46313
1/17/17 5:00,49325
1/17/17 6:00,51741
1/17/17 7:00,55892
1/17/17 8:00,56813
1/17/17 9:00,59822
1/17/17 10:00,55967
1/17/17 11:00,53740
1/17/17 12:00,49754
1/17/17 13:00,44709
1/17/17 14:00,41802
1/17/17 15:00,35390
1/17/17 16:00,33513
1/17/17 17:00,37835
1/17/17 18:00,30554
1/17/17 19:00,28303
1/17/17 20:00,29414
1/17/17 21:00,30671
1/17/17 22:00,32257
1/17/17 23:00,28219
1/18/17 0:00,27913
1/18/17 1:00,29680
1/18/17 2:00,33038
1/18/17 3:00,40977
1/18/17 4:00,48520
1/18/17 5:00,51258
1/18/17 6:00,53176
1/18/17 7:00,55576
1/18/17 8:00,55649
1/18/17 9:00,55842
1/18/17 10:00,54926
1/18/17 11:00,53546
1/18/17 12:00,49306
1/18/17 13:00,43939
1/18/17 14:00,38458
1/18/17 15:00,33441
1/18/17 16:00,31254
1/18/17 17:00,29882
1/18/17 18:00,28663
1/18/17 19:00,27048
1/18/17 20:00,28104
1/18/17 21:00,29942
1/18/17 22:00,32036
1/18/17 23:00,28579
1/19/17 0:00,27822
1/19/17 1:00,29367
1/19/17 2:00,32288
1/19/17 3:00,38958
1/19/17 4:00,45252
1/19/17 5:00,48212
1/19/17 6:00,49898
1/19/17 7:00,53404
1/19/17 8:00,54758
1/19/17 9:00,54387
1/19/17 10:00,53696
1/19/17 11:00,52971
1/19/17 12:00,49391
1/19/17 13:00,43918
1/19/17 14:00,38612
1/19/17 15:00,33809
1/19/17 16:00,31676
1/19/17 17:00,30064
1/19/17 18:00,28790
1/19/17 19:00,27450
1/19/17 20:00,28894
1/19/17 21:00,30711
1/19/17 22:00,32539
1/19/17 23:00,29238
1/20/17 0:00,29070
1/20/17 1:00,32759
1/20/17 2:00,33841
1/20/17 3:00,40825
1/20/17 4:00,48037
1/20/17 5:00,51170
1/20/17 6:00,53218
1/20/17 7:00,55906
1/20/17 8:00,56945
1/20/17 9:00,59147
1/20/17 10:00,55532
1/20/17 11:00,53620
1/20/17 12:00,51362
1/20/17 13:00,47118
1/20/17 14:00,44519
1/20/17 15:00,37973
1/20/17 16:00,35684
1/20/17 17:00,38872
1/20/17 18:00,31220
1/20/17 19:00,29558
1/20/17 20:00,29076
1/20/17 21:00,29102
1/20/17 22:00,31797
1/20/17 23:00,36523
1/21/17 0:00,39988
1/21/17 1:00,41807
1/21/17 2:00,44071
1/21/17 3:00,46823
1/21/17 4:00,50807
1/21/17 5:00,54109
1/21/17 6:00,57423
1/21/17 7:00,59620
1/21/17 8:00,61473
1/21/17 9:00,61248
1/21/17 10:00,60094
1/21/17 11:00,57314
1/21/17 12:00,52605
1/21/17 13:00,47589
1/21/17 14:00,41440
1/21/17 15:00,36092
1/21/17 16:00,32568
1/21/17 17:00,30223
1/21/17 18:00,28906
1/21/17 19:00,27760
1/21/17 20:00,27049
1/21/17 21:00,27726
1/21/17 22:00,30879
1/21/17 23:00,35385
1/22/17 0:00,39596
1/22/17 1:00,42019
1/22/17 2:00,44127
1/22/17 3:00,46228
1/22/17 4:00,49304
1/22/17 5:00,52712
1/22/17 6:00,56514
1/22/17 7:00,59561
1/22/17 8:00,61615
1/22/17 9:00,61609
1/22/17 10:00,59953
1/22/17 11:00,59576
1/22/17 12:00,52116
1/22/17 13:00,45205
1/22/17 14:00,38184
1/22/17 15:00,35348
1/22/17 16:00,31013
1/22/17 17:00,29691
1/22/17 18:00,28290
1/22/17 19:00,29124
1/22/17 20:00,27882
1/22/17 21:00,29200
1/22/17 22:00,31313
1/22/17 23:00,27653
1/23/17 0:00,27436
1/23/17 1:00,30129
1/23/17 2:00,31935
1/23/17 3:00,39002
1/23/17 4:00,45113
1/23/17 5:00,48227
1/23/17 6:00,50360
1/23/17 7:00,53459
1/23/17 8:00,55983
1/23/17 9:00,58795
1/23/17 10:00,55094
1/23/17 11:00,53284
1/23/17 12:00,49474
1/23/17 13:00,44237
1/23/17 14:00,41010
1/23/17 15:00,34860
1/23/17 16:00,33527
1/23/17 17:00,37675
1/23/17 18:00,30395
1/23/17 19:00,28521
1/23/17 20:00,29094
1/23/17 21:00,30560
1/23/17 22:00,32538
1/23/17 23:00,28830
1/24/17 0:00,28154
1/24/17 1:00,30233
1/24/17 2:00,33352
1/24/17 3:00,40354
1/24/17 4:00,46671
1/24/17 5:00,49692
1/24/17 6:00,51799
1/24/17 7:00,55039
1/24/17 8:00,56172
1/24/17 9:00,55760
1/24/17 10:00,54663
1/24/17 11:00,53144
1/24/17 12:00,49142
1/24/17 13:00,43449
1/24/17 14:00,37464
1/24/17 15:00,33050
1/24/17 16:00,30847
1/24/17 17:00,29752
1/24/17 18:00,28653
1/24/17 19:00,27122
1/24/17 20:00,28201
1/24/17 21:00,29926
1/24/17 22:00,31690
1/24/17 23:00,28478
1/25/17 0:00,28089
1/25/17 1:00,29762
1/25/17 2:00,33454
1/25/17 3:00,40485
1/25/17 4:00,48284
1/25/17 5:00,50738
1/25/17 6:00,51971
1/25/17 7:00,54709
1/25/17 8:00,55208
1/25/17 9:00,54739
1/25/17 10:00,53899
1/25/17 11:00,51616
1/25/17 12:00,48191
1/25/17 13:00,42742
1/25/17 14:00,37217
1/25/17 15:00,32856
1/25/17 16:00,30667
1/25/17 17:00,29203
1/25/17 18:00,28202
1/25/17 19:00,26864
1/25/17 20:00,28308
1/25/17 21:00,30419
1/25/17 22:00,32567
1/25/17 23:00,29145
1/26/17 0:00,28408
1/26/17 1:00,29737
1/26/17 2:00,32647
1/26/17 3:00,39358
1/26/17 4:00,45654
1/26/17 5:00,48138
1/26/17 6:00,50313
1/26/17 7:00,53496
1/26/17 8:00,54846
1/26/17 9:00,57780
1/26/17 10:00,54044
1/26/17 11:00,52164
1/26/17 12:00,48415
1/26/17 13:00,43338
1/26/17 14:00,40545
1/26/17 15:00,34321
1/26/17 16:00,33293
1/26/17 17:00,37445
1/26/17 18:00,29855
1/26/17 19:00,28209
1/26/17 20:00,29100
1/26/17 21:00,31018
1/26/17 22:00,33720
1/26/17 23:00,30382
1/27/17 0:00,30425
1/27/17 1:00,34690
1/27/17 2:00,35900
1/27/17 3:00,43300
1/27/17 4:00,49353
1/27/17 5:00,52685
1/27/17 6:00,54348
1/27/17 7:00,57279
1/27/17 8:00,58360
1/27/17 9:00,57228
1/27/17 10:00,56166
1/27/17 11:00,54387
1/27/17 12:00,51215
1/27/17 13:00,46027
1/27/17 14:00,40414
1/27/17 15:00,35254
1/27/17 16:00,32302
1/27/17 17:00,30457
1/27/17 18:00,29227
1/27/17 19:00,28046
1/27/17 20:00,27395
1/27/17 21:00,27722
1/27/17 22:00,31094
1/27/17 23:00,35426
1/28/17 0:00,39232
1/28/17 1:00,41671
1/28/17 2:00,43445
1/28/17 3:00,45970
1/28/17 4:00,50105
1/28/17 5:00,52676
1/28/17 6:00,56044
1/28/17 7:00,58980
1/28/17 8:00,59922
1/28/17 9:00,58994
1/28/17 10:00,57992
1/28/17 11:00,55442
1/28/17 12:00,51194
1/28/17 13:00,46280
1/28/17 14:00,40156
1/28/17 15:00,34976
1/28/17 16:00,31741
1/28/17 17:00,29545
1/28/17 18:00,28029
1/28/17 19:00,27073
1/28/17 20:00,25981
1/28/17 21:00,26734
1/28/17 22:00,29973
1/28/17 23:00,34833
1/29/17 0:00,38972
1/29/17 1:00,41885
1/29/17 2:00,43847
1/29/17 3:00,46385
1/29/17 4:00,49333
1/29/17 5:00,52787
1/29/17 6:00,56290
1/29/17 7:00,59412
1/29/17 8:00,61043
1/29/17 9:00,64529
1/29/17 10:00,61180
1/29/17 11:00,59175
1/29/17 12:00,51724
1/29/17 13:00,45494
1/29/17 14:00,41563
1/29/17 15:00,36597
1/29/17 16:00,33981
1/29/17 17:00,37561
1/29/17 18:00,30152
1/29/17 19:00,29985
1/29/17 20:00,28947
1/29/17 21:00,30341
1/29/17 22:00,33041
1/29/17 23:00,29328
