Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,"Главное: что бы Вы добавили в программу курса? (нейронные сети, NLP, временные ряды, байесовский подход и т.д.) Предварительная программа доступна в slack OpenDataScience в канале #mlcourse_open",Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?",Какой из будних дней устроит? Воскресенье – 100%,"Как думаете, Вам хватит мотивации пройти весь курс?","Собираетесь ли Вы поработать над индивидуальным проектом (это ~ 2 месяца, самая полезная часть)?",Хотели бы Вы видеть общий рейтинг слушателей?,"Поддерживаете ли Вы идею, что вживую приходят топ-100 лучших по результатам прошлой домашки? Остальные смотрят трансляцию","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (конец января 17го) освоить азы Python? На уровне Code Academy",Оцените свой уровень владения GitHub,Поддерживаете ли Вы идею добровольного вознаграждения организаторов курса?,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
2016/12/05 10:39:59 am GMT+3,крутой Developer,Да,"Ребята, вижу ваш настрой, уверен курс будет интереснейшим",ок,Starcraft,Да,Любой,Посмотрим,Посмотрим,Пофиг,Пофиг,4,3,-12,2.0,Да,Да,Проф,Да,"Прочитай книгу Лема ""Голос Неба"", очень много интересных параллелей с ИИ, и просто книжка чрезвычайно крутая"
2016/12/05 10:44:27 am GMT+3,Разработчик Navision. Изучаю тему DS для возможной переквалификации.,Да,"Практики, подкрепленной теорией. Хочется упорядочить полученные из разных источников знания и научиться применять все это на практике.","Предобработка данных, фич инженеринг.",,Да,Пт,Посмотрим,Да,Да,Нет,1,3,,2.0,"Да, но фиговый.",Да,Могу скачать материалы,Да,
2016/12/05 10:47:07 am GMT+3,"Я Software Engeneer разработчик, активно интересующийся областью машинного обучения. Имею реальный опыт в DL (неcколько задача связанных с разпознавание объектов и классификацией изображений).",Да,Побольше практики на реальных данных (задачах).,"временные рады, байесовский подход",basketball,Да,Пт,Да,Да,Да,всеравно,3,3,,2.0,Да,Да,Проф,Да,
2016/12/05 10:47:22 am GMT+3,Семилетний инженер. Специализируюсь в компьютерном зрении.,Да,Глубокого разбора алгоритмов и инструментов.,"По плану пока непонятно что за курс, впечатление, что новичковый. Будет что-то отличное от множества других подобных курсов?",,Да,Вт,Посмотрим,Да,Пофиг,Да,3,0.5,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,Король говорит
2016/12/05 10:58:34 am GMT+3,программист. pl/sql python,Да,Упорядочить знания,Рекомендательные системы,футбол,Да,Чт,Да,Да,Пофиг,Да,3,3,-12,2.0,Да,уже знаю,"Пользуюсь ветками, могу что-то смерджить",Да,
2016/12/05 11:02:36 am GMT+3,студен CSC в СПБ,Да,Веселого веселья с данными,NLP,Теннис,Да,Ср,Посмотрим,Да,Пофиг,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,
2016/12/05 11:06:42 am GMT+3,"Образование в области ИБ. Python/C++ разработчик с небольшим опытом ML. Ментор специализации ""Машинное обучение и анализ данных"" на Coursera. Ник в чате: re9ulus",Да,Практики и хардкора,"NLP, Байес и ряды было бы отлично. И побольше практических инструментов, как hyperot для тюнинга моделей и тому подобного.",MMA,Да,Любой,Да,Да,Пофиг,Я из другого города и очно присутствовать все равно не смогу :),3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,"Игры разума, Игра, Престиж, Экзамен"
2016/12/05 11:10:08 am GMT+3,"Учусь в маге, параллельно пытаюсь самостоятельно разбираться в ml. Работаю в банке аналитиком",Да,"Укрепить свои знания в тех местах, где я не полностью разбираюсь",Nlp,Футбол,Да,Любой,Посмотрим,Да,Да,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Да,Игры разума
2016/12/05 11:12:54 am GMT+3,R&D в уютном стартапе ,Да,"неочевидных трюков в привычных задачах, восполнить пробелы в несистемных знаниях","временные ряды, байесианство ",,Да,Любой,"думаю, буду смотреть только самые интригующие трансляции",Нет,Пофиг,я и сам собираюсь только смотреть трансляцию,2,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Да,"""игра в имитацию"" - говно, лучше перечитать ""криптономикон""!"
2016/12/05 11:14:52 am GMT+3,Hello ODS!,Да,new experience,"нейронные сети, временные ряды, компьютерное зрение",starcraft 2,Да,Любой,Да,если будет достаточно свободного времени,Да,"Думаю, что при таком подходе большая вероятность потерять основную аудиторию",1,3,-12,2.0,Да,Да,Могу редактировать свою копию,Да,"Чувственная математика, Екатерины Еременко (2012)"
