id,Timestamp,Представьтесь в 2-3 фразах,Работали ли Вы с Jupyter notebooks?,Что Вы ждете от курса?,Потом мы прямо этот же набор данных поанализируем с Pandas. Так что какой Ваш любимый вид спорта?,"Ладно, посерьезней: согласны ли Вы на обработку персональных данных?","Какие оцениваете свой уровень математической подготовки? (матан, линал, теорвер)","Чему равна дисперсия равномерного на [0,6] распределения?","Найдите минимум функции 3x^4-8x^3+6x^2-12 на отрезке [-3,3]",Сколько параметров у нормального распределения?,Сможете написать на Python генератор чисел Фибоначчи?,"Хорошо, а готовы к началу курса (6 сентября 2017) освоить азы Python? На уровне Code Academy, DataCamp или github.com/Yorko/python_intro",Оцените свой уровень владения GitHub,"Посоветуйте хороший фильм в стиле ""Игра в имитацию"" :)"
0,2016/12/05 10:39:59 am GMT+3,крутой Developer,Да,"Ребята, вижу ваш настрой, уверен курс будет интереснейшим",Starcraft,Да,4,3,-12,2.0,Да,Да,Проф,"Прочитай книгу Лема ""Голос Неба"", очень много интересных параллелей с ИИ, и просто книжка чрезвычайно крутая"
1,2016/12/05 10:44:27 am GMT+3,Разработчик Navision. Изучаю тему DS для возможной переквалификации.,Да,"Практики, подкрепленной теорией. Хочется упорядочить полученные из разных источников знания и научиться применять все это на практике.",,Да,1,3,,2.0,"Да, но фиговый.",Да,Могу скачать материалы,
2,2016/12/05 10:47:07 am GMT+3,"Я Software Engeneer разработчик, активно интересующийся областью машинного обучения. Имею реальный опыт в DL (неcколько задача связанных с разпознавание объектов и классификацией изображений).",Да,Побольше практики на реальных данных (задачах).,basketball,Да,3,3,,2.0,Да,Да,Проф,
3,2016/12/05 10:47:22 am GMT+3,Семилетний инженер. Специализируюсь в компьютерном зрении.,Да,Глубокого разбора алгоритмов и инструментов.,,Да,3,0.5,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",Король говорит
5,2016/12/05 10:58:34 am GMT+3,программист. pl/sql python,Да,Упорядочить знания,футбол,Да,3,3,-12,2.0,Да,уже знаю,"Пользуюсь ветками, могу что-то смерджить",
6,2016/12/05 11:02:36 am GMT+3,студен CSC в СПБ,Да,Веселого веселья с данными,Теннис,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить",
7,2016/12/05 11:06:42 am GMT+3,"Образование в области ИБ. Python/C++ разработчик с небольшим опытом ML. Ментор специализации ""Машинное обучение и анализ данных"" на Coursera. Ник в чате: re9ulus",Да,Практики и хардкора,MMA,Да,3,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","Игры разума, Игра, Престиж, Экзамен"
8,2016/12/05 11:10:08 am GMT+3,"Учусь в маге, параллельно пытаюсь самостоятельно разбираться в ml. Работаю в банке аналитиком",Да,"Укрепить свои знания в тех местах, где я не полностью разбираюсь",Футбол,Да,4,3,-12,2.0,Да,Да,Могу скачать материалы,Игры разума
9,2016/12/05 11:12:54 am GMT+3,R&D в уютном стартапе ,Да,"неочевидных трюков в привычных задачах, восполнить пробелы в несистемных знаниях",,Да,2,3,-12,2.0,Да,Да,"Пользуюсь ветками, могу что-то смерджить","""игра в имитацию"" - говно, лучше перечитать ""криптономикон""!"
10,2016/12/05 11:14:52 am GMT+3,Hello ODS!,Да,new experience,starcraft 2,Да,1,3,-12,2.0,Да,Да,Могу редактировать свою копию,"Чувственная математика, Екатерины Еременко (2012)"
