player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg.,x3p,x3pa,x3p.,x2p,x2pa,x2p.,efg.,ft,fta,ft.,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,season_end
Quincy Acy,SF,23,TOT,63,0,847,66,141,0.468,4,15,0.266666666666667,62,126,0.492063492063492,0.482,35,53,0.66,72,144,216,28,23,26,30,122,171,2013-2014,2013
Steven Adams,C,20,OKC,81,20,1197,93,185,0.503,0,0,NA,93,185,0.502702702702703,0.503,79,136,0.581,142,190,332,43,40,57,71,203,265,2013-2014,2013
Jeff Adrien,PF,27,TOT,53,12,961,143,275,0.52,0,0,NA,143,275,0.52,0.52,76,119,0.639,102,204,306,38,24,36,39,108,362,2013-2014,2013
Arron Afflalo,SG,28,ORL,73,73,2552,464,1011,0.459,128,300,0.426666666666667,336,711,0.472573839662447,0.522,274,336,0.815,32,230,262,248,35,3,146,136,1330,2013-2014,2013
Alexis Ajinca,C,25,NOP,56,30,951,136,249,0.546,0,1,0,136,248,0.548387096774194,0.546,56,67,0.836,94,183,277,40,23,46,63,187,328,2013-2014,2013
Cole Aldrich,C,25,NYK,46,2,330,33,61,0.541,0,0,NA,33,61,0.540983606557377,0.541,26,30,0.867,37,92,129,14,8,30,18,40,92,2013-2014,2013
LaMarcus Aldridge,PF,28,POR,69,69,2498,652,1423,0.458,3,15,0.2,649,1408,0.4609375,0.459,296,360,0.822,166,599,765,178,63,68,123,147,1603,2013-2014,2013
Lavoy Allen,PF,24,TOT,65,2,1072,134,300,0.447,2,13,0.153846153846154,132,287,0.45993031358885,0.45,33,50,0.66,119,192,311,71,24,33,44,126,303,2013-2014,2013
Ray Allen,SG,38,MIA,73,9,1936,240,543,0.442,116,309,0.375404530744337,124,234,0.52991452991453,0.549,105,116,0.905,23,182,205,143,54,8,84,115,701,2013-2014,2013
Tony Allen,SG,32,MEM,55,28,1278,204,413,0.494,11,47,0.234042553191489,193,366,0.527322404371585,0.507,76,121,0.628,79,129,208,94,90,19,90,121,495,2013-2014,2013
Al-Farouq Aminu,SF,23,NOP,80,65,2045,234,494,0.474,13,48,0.270833333333333,221,446,0.495515695067265,0.487,91,137,0.664,129,367,496,114,82,38,88,147,572,2013-2014,2013
