id	taxactionSystem	regdt	workerCount	fssdccount	pfrdcCount	fnsdcCount	hasCloudCryptCertificate	OrgCreationDate	documentsCount	cnt_users	is_prolong
101969	УСН, Доходы 6%	1994-03-26	5.0	0.0	0.0	0.0	0	04.12.2014	2.0	0.0	1.0
108477	ОСНО	2012-12-05	1.0	0.0	0.0	0.0	0	22.09.2014	5.0	0.0	0.0
101476	УСН, Доходы 6%	2009-11-15	1.0	3.0	3.0	2.0	0	05.04.2016	0.0	0.0	1.0
102579	УСН, Доходы за вычетом расходов 15%	2015-08-09	1.0	0.0	0.0	0.0	0	24.09.2015	0.0	0.0	0.0
103110	УСН, Доходы за вычетом расходов 15%	2015-03-29	0.0	0.0	0.0	0.0	0	03.04.2015	4.0	0.0	0.0
107114	УСН, Доходы 6%	2009-08-14	1.0	1.0	1.0	1.0	0	16.05.2014	4.0	0.0	0.0
105133	УСН, Доходы 6%	2012-11-26	1.0	2.0	2.0	2.0	1	23.03.2016	7.0	0.0	1.0
107140	УСН, Доходы за вычетом расходов 15%	2013-11-15	0.0	1.0	2.0	2.0	1	30.03.2016	5.0	0.0	1.0
100281	ОСНО	2011-07-23	0.0	1.0	1.0	2.0	0	12.12.2014	1.0	0.0	0.0
105882	ОСНО	2003-11-03	3.0	2.0	0.0	1.0	0	29.03.2016	2.0	1.0	1.0
102049	ОСНО	2012-11-24	3.0	2.0	2.0	3.0	0	01.01.1900	8.0	0.0	1.0
101099	ЕНВД	2006-03-24	3.0	2.0	0.0	2.0	1	18.03.2015	4.0	0.0	1.0
108223	ОСНО	2015-11-13	0.0	0.0	0.0	1.0	1	22.10.2015	6.0	0.0	1.0
103976	УСН, Доходы 6%	2008-12-10	1.0	2.0	2.0	2.0	1	10.11.2014	6.0	0.0	1.0
108070	ОСНО	1996-05-04	0.0	0.0	0.0	3.0	1	16.07.2014	6.0	0.0	1.0
109909	ЕНВД	2013-05-27	1.0	1.0	1.0	2.0	1	02.05.2015	6.0	1.0	1.0
103941	ОСНО	2014-04-23	1.0	1.0	1.0	2.0	0	08.04.2014	8.0	1.0	0.0
108901	УСН, Доходы 6%	2014-08-29	0.0	2.0	2.0	2.0	1	02.10.2014	5.0	0.0	1.0
107294	ОСНО	2015-06-03	0.0	0.0	0.0	0.0	0	26.05.2015	0.0	0.0	0.0
102230	ЕНВД	2009-07-26	0.0	1.0	1.0	2.0	1	06.03.2015	6.0	0.0	1.0
101729	УСН, Доходы 6% +ЕНВД	2004-05-10	0.0	1.0	0.0	2.0	1	16.01.2015	0.0	1.0	1.0
102919	УСН, Доходы за вычетом расходов 15%	2010-11-04	2.0	0.0	0.0	0.0	0	01.01.1900	8.0	1.0	1.0
107530	УСН, Доходы 3%	2015-08-11	1.0	1.0	2.0	2.0	0	01.10.2015	5.0	0.0	1.0
101872	ОСНО	2014-12-30	0.0	0.0	0.0	0.0	0	23.11.2015	3.0	0.0	0.0
102699	УСН, Доходы за вычетом расходов 10%	2014-11-06	0.0	0.0	0.0	0.0	0	19.03.2015	7.0	1.0	1.0
110137	УСН, Доходы 6%	2014-08-29	0.0	0.0	0.0	2.0	1	18.11.2014	6.0	0.0	1.0
103486	УСН, Доходы за вычетом расходов 12,5%	2012-03-16	4.0	2.0	3.0	2.0	1	25.03.2016	8.0	0.0	1.0
109772	ОСНО	2014-10-23	0.0	1.0	1.0	2.0	0	15.10.2014	4.0	0.0	0.0
101420	ОСНО	2014-07-19	0.0	2.0	2.0	3.0	1	03.07.2014	6.0	1.0	1.0
100345	ОСНО	2015-06-15	1.0	0.0	0.0	1.0	1	13.10.2015	0.0	0.0	0.0
101205	УСН, Доходы 6%	2008-01-06	3.0	2.0	3.0	2.0	1	26.03.2016	7.0	1.0	1.0
101876	УСН, Доходы за вычетом расходов 10%	2009-10-24	1.0	0.0	0.0	0.0	0	01.01.1900	5.0	0.0	0.0
100604	УСН, Доходы 6%	2003-10-10	2.0	0.0	0.0	0.0	0	27.11.2014	4.0	0.0	1.0
102917	ЕНВД	2010-01-16	1.0	0.0	0.0	0.0	0	08.05.2014	0.0	0.0	1.0
101048	УСН, Доходы за вычетом расходов 7%	2008-03-20	1.0	1.0	0.0	0.0	0	01.01.1900	0.0	0.0	1.0
108488	УСН, Доходы за вычетом расходов 5%	2011-10-30	3.0	1.0	2.0	2.0	1	23.05.2014	9.0	1.0	1.0
100212	УСН, Доходы 6%	2011-03-13	1.0	0.0	0.0	0.0	0	13.04.2016	7.0	1.0	1.0
109466	ОСНО	2014-10-24	1.0	1.0	1.0	1.0	0	25.12.2014	6.0	1.0	0.0
108254	УСН, Доходы за вычетом расходов 15%	1997-04-23	3.0	2.0	3.0	1.0	0	01.01.1900	0.0	0.0	0.0
106649	ОСНО	2015-08-02	0.0	0.0	0.0	1.0	1	14.07.2015	2.0	0.0	0.0
100046	ОСНО	2013-03-16	0.0	0.0	0.0	0.0	0	06.07.2015	3.0	0.0	0.0
109558	УСН, Доходы за вычетом расходов 15%	2010-02-07	2.0	2.0	2.0	1.0	1	16.07.2014	8.0	0.0	1.0
105732	УСН, Доходы за вычетом расходов 15%	2012-11-12	2.0	2.0	2.0	2.0	1	27.03.2014	7.0	1.0	1.0
104844	УСН, Доходы за вычетом расходов 15%	2013-12-06	1.0	0.0	0.0	0.0	1	20.07.2015	4.0	0.0	0.0
100790	ОСНО	2009-07-25	2.0	0.0	1.0	0.0	0	01.01.1900	1.0	0.0	1.0
106961	УСН, Доходы за вычетом расходов 15%	2009-03-22	1.0	2.0	2.0	2.0	1	01.01.1900	7.0	1.0	1.0
105736	УСН, Доходы за вычетом расходов 7%	2013-11-13	0.0	1.0	1.0	0.0	0	01.01.1900	1.0	0.0	0.0
101745	УСН, Доходы 6%	2010-06-15	0.0	0.0	0.0	1.0	1	19.04.2016	7.0	0.0	1.0
101513	ОСНО	2015-01-09	1.0	1.0	1.0	2.0	0	16.01.2015	4.0	0.0	0.0
102824	ЕНВД	2012-03-16	0.0	0.0	0.0	1.0	0	01.01.1900	2.0	1.0	0.0
107149	ОСНО	2015-09-17	0.0	0.0	0.0	0.0	0	01.10.2015	0.0	0.0	0.0
103534	ОСНО	1999-06-08	3.0	2.0	1.0	0.0	0	31.03.2016	0.0	0.0	1.0
102518	ОСНО	2004-10-06	2.0	2.0	3.0	2.0	1	01.01.1900	0.0	0.0	1.0
104543	ОСНО	2007-04-01	1.0	0.0	2.0	1.0	0	01.01.1900	0.0	0.0	0.0
110112	ЕНВД	2001-04-24	0.0	0.0	0.0	0.0	0	14.04.2014	0.0	0.0	0.0
106340	УСН, Доходы за вычетом расходов 15%	2012-06-01	1.0	0.0	0.0	0.0	0	04.08.2014	8.0	1.0	1.0
102666	ОСНО	2013-09-25	1.0	0.0	0.0	0.0	0	02.07.2014	6.0	0.0	1.0
103108	ЕНВД	2014-10-04	1.0	1.0	0.0	2.0	0	05.09.2014	5.0	0.0	0.0
103167	ОСНО	2014-01-30	0.0	2.0	1.0	2.0	0	28.03.2014	0.0	0.0	0.0
103311	ОСНО	2001-03-30	3.0	0.0	0.0	0.0	0	01.01.1900	0.0	0.0	1.0
102771	ОСНО	2015-08-02	0.0	0.0	0.0	1.0	1	19.10.2015	0.0	0.0	0.0
104304	УСН, Доходы 6%	2016-01-20	0.0	0.0	0.0	1.0	1	12.01.2016	0.0	0.0	0.0
109629	УСН, Доходы за вычетом расходов 15%	2011-12-05	1.0	1.0	1.0	1.0	1	29.12.2014	5.0	0.0	1.0
109734	ОСНО	2015-10-17	0.0	1.0	1.0	2.0	1	11.10.2015	4.0	0.0	1.0
