"Music","Slow songs or fast songs","Dance","Folk","Country","Classical music","Musical","Pop","Rock","Metal or Hardrock","Punk","Hiphop, Rap","Reggae, Ska","Swing, Jazz","Rock n roll","Alternative","Latino","Techno, Trance","Opera","Movies","Horror","Thriller","Comedy","Romantic","Sci-fi","War","Fantasy/Fairy tales","Animated","Documentary","Western","Action","History","Psychology","Politics","Mathematics","Physics","Internet","PC","Economy Management","Biology","Chemistry","Reading","Geography","Foreign languages","Medicine","Law","Cars","Art exhibitions","Religion","Countryside, outdoors","Dancing","Musical instruments","Writing","Passive sport","Active sport","Gardening","Celebrities","Shopping","Science and technology","Theatre","Fun with friends","Adrenaline sports","Pets","Flying","Storm","Darkness","Heights","Spiders","Snakes","Rats","Ageing","Dangerous dogs","Fear of public speaking","Smoking","Alcohol","Healthy eating","Daily events","Prioritising workload","Writing notes","Workaholism","Thinking ahead","Final judgement","Reliability","Keeping promises","Loss of interest","Friends versus money","Funniness","Fake","Criminal damage","Decision making","Elections","Self-criticism","Judgment calls","Hypochondria","Empathy","Eating to survive","Giving","Compassion to animals","Borrowed stuff","Loneliness","Cheating in school","Health","Changing the past","God","Dreams","Charity","Number of friends","Punctuality","Lying","Waiting","New environment","Mood swings","Appearence and gestures","Socializing","Achievements","Responding to a serious letter","Children","Assertiveness","Getting angry","Knowing the right people","Public speaking","Unpopularity","Life struggles","Happiness in life","Energy levels","Small - big dogs","Personality","Finding lost valuables","Getting up","Interests or hobbies","Parents' advice","Questionnaires or polls","Internet usage","Finances","Shopping centres","Branded clothing","Entertainment spending","Spending on looks","Spending on gadgets","Spending on healthy eating","Age","Height","Weight","Number of siblings","Gender","Left - right handed","Education","Only child","Village - town","House - block of flats"
5,3,2,1,2,2,1,5,5,1,1,1,1,1,3,1,1,1,1,5,4,2,5,4,4,1,5,5,3,1,2,1,5,1,3,3,5,3,5,3,3,3,3,5,3,1,1,1,1,5,3,3,2,1,5,5,1,4,4,2,5,4,4,1,1,1,1,1,5,3,1,3,2,"never smoked","drink a lot",4,2,2,5,4,2,5,4,4,1,3,5,1,1,3,4,1,3,1,3,1,4,5,4,3,2,1,1,1,4,2,3,"i am always on time","never",3,4,3,4,3,4,3,5,1,1,3,5,5,1,4,5,1,4,3,2,3,4,3,"few hours a day",3,4,5,3,3,1,3,20,163,48,1,"female","right handed","college/bachelor degree","no","village","block of flats"
4,4,2,1,1,1,2,3,5,4,4,1,3,1,4,4,2,1,1,5,2,2,4,3,4,1,3,5,4,1,4,1,3,4,5,2,4,4,5,1,1,4,4,5,1,2,2,2,1,1,1,1,1,1,1,1,2,3,3,2,4,2,5,1,1,1,2,1,1,1,3,1,4,"never smoked","drink a lot",3,3,2,4,5,4,1,4,4,3,4,3,2,1,2,5,4,4,1,2,1,2,4,3,2,4,4,4,1,3,1,3,"i am often early","sometimes",3,4,4,4,4,2,4,2,2,5,4,4,4,1,4,3,5,3,4,5,3,2,3,"few hours a day",3,4,1,4,2,5,2,19,163,58,2,"female","right handed","college/bachelor degree","no","city","block of flats"
5,5,2,2,3,4,5,3,5,3,4,1,4,3,5,5,5,1,3,5,3,4,4,2,4,2,5,5,2,2,1,1,2,1,5,2,4,2,4,1,1,5,2,5,2,3,1,5,5,5,5,5,5,5,2,1,1,4,2,5,5,5,5,1,1,1,1,1,1,1,1,1,2,"tried smoking","drink a lot",3,1,2,5,3,5,3,4,5,1,5,2,4,1,3,5,4,4,1,5,5,5,4,2,5,3,2,5,5,1,3,3,"i am often running late","sometimes",2,3,4,3,5,3,4,4,3,4,3,2,4,4,4,4,3,3,3,4,5,3,1,"few hours a day",2,4,1,4,3,4,2,20,176,67,2,"female","right handed","secondary school","no","city","block of flats"
5,3,2,1,1,1,1,2,2,1,4,2,2,1,2,5,1,2,1,5,4,4,3,3,4,3,1,2,5,1,2,4,4,5,4,1,3,1,2,3,3,5,4,4,2,5,1,5,4,1,1,1,3,1,1,1,2,4,3,1,2,1,1,2,1,1,3,5,5,5,4,5,5,"former smoker","drink a lot",3,4,4,4,5,3,1,3,4,5,2,1,1,5,5,5,5,4,3,3,1,1,2,5,5,5,1,5,4,3,3,1,"i am often early","only to avoid hurting someone",1,1,5,3,1,3,3,2,5,5,4,5,3,3,2,2,1,2,1,1,,2,4,"most of the day",2,4,3,3,4,4,1,22,172,59,1,"female","right handed","college/bachelor degree","yes","city","house/bungalow"
5,3,4,3,2,4,3,5,3,1,2,5,3,2,1,2,4,2,2,5,4,4,5,2,3,3,4,4,3,1,4,3,2,3,2,2,2,2,2,3,3,5,2,3,3,2,3,1,4,4,1,3,1,3,1,4,3,3,3,2,4,2,1,1,2,1,1,1,1,2,2,4,3,"tried smoking","social drinker",4,3,1,2,3,5,5,5,4,2,3,3,2,1,3,5,5,5,1,3,1,3,3,4,3,5,3,4,5,3,3,3,"i am always on time","everytime it suits me",3,4,2,3,3,3,3,5,4,2,3,5,5,2,3,5,3,3,2,4,3,3,3,"few hours a day",4,3,4,3,3,2,4,20,170,59,1,"female","right handed","secondary school","no","village","house/bungalow"
5,3,2,3,2,3,3,2,5,5,3,4,3,4,4,5,3,1,3,5,5,5,5,2,3,3,4,3,3,2,4,5,3,4,2,3,4,4,1,4,4,3,3,4,4,3,5,2,2,5,1,5,1,5,4,2,1,2,3,1,3,3,2,3,2,2,2,1,2,2,1,1,3,"never smoked","never",2,2,2,3,3,3,1,3,4,3,2,3,1,4,2,5,4,4,1,4,2,3,5,5,2,4,3,3,3,3,2,3,"i am often early","only to avoid hurting someone",3,4,3,3,4,2,2,3,4,3,4,4,4,3,3,4,4,3,3,3,5,3,4,"few hours a day",2,3,3,3,1,4,4,20,186,77,1,"male","right handed","secondary school","no","city","block of flats"
5,5,5,3,1,2,2,5,3,1,1,3,1,1,2,3,3,5,2,4,2,1,5,3,1,3,5,5,3,1,2,3,3,1,1,1,2,1,3,5,5,3,3,4,5,3,4,1,1,4,3,2,1,5,3,3,1,3,4,3,5,1,5,1,3,2,1,1,5,1,4,1,1,"tried smoking","social drinker",4,3,5,5,5,3,3,4,5,3,4,4,1,2,2,5,3,5,1,4,1,5,5,5,3,2,3,1,5,3,3,3,"i am often early","never",4,5,5,4,5,4,3,2,3,3,4,3,3,5,5,4,3,3,2,2,4,4,5,"less than an hour a day",4,3,1,3,4,1,5,20,177,50,1,"female","right handed","secondary school","no","village","house/bungalow"
5,3,3,2,1,2,2,4,5,1,2,3,2,2,3,1,2,3,2,5,4,4,5,2,3,3,4,4,3,1,3,5,2,3,1,1,5,4,1,2,2,2,3,4,1,2,1,1,2,2,1,1,1,4,5,1,3,3,2,2,4,2,5,3,2,4,3,1,5,3,1,2,4,"current smoker","drink a lot",2,3,1,3,2,4,3,3,3,1,4,4,2,1,3,5,3,5,2,1,2,3,5,2,2,5,3,2,4,4,1,4,"i am always on time","sometimes",1,4,3,4,2,4,3,4,3,1,4,5,2,2,4,4,3,4,2,5,4,3,3,"few hours a day",3,4,4,4,4,3,2,19,184,90,1,"male","right handed","college/bachelor degree","no","city","house/bungalow"
5,3,3,1,1,2,4,3,5,5,1,1,2,2,2,,1,1,1,5,1,5,5,4,4,5,4,4,5,1,1,3,2,1,1,1,1,1,1,3,1,5,1,1,1,1,1,1,2,4,1,2,1,4,1,1,5,2,1,5,4,1,1,2,3,1,5,5,5,2,2,3,4,"tried smoking","social drinker",1,1,2,1,4,2,5,5,4,1,4,2,2,1,4,1,3,2,2,5,1,1,4,5,4,5,4,5,5,4,1,2,"i am often early","sometimes",2,2,3,4,4,2,2,4,1,3,3,4,5,4,3,1,5,3,5,5,1,4,3,"few hours a day",2,1,3,2,1,3,4,18,166,55,1,"female","right handed","secondary school","no","city","house/bungalow"
5,3,2,5,2,2,5,3,5,2,3,2,4,4,4,4,5,1,2,5,2,1,5,5,1,3,4,4,4,1,2,3,2,3,3,1,5,1,4,2,1,4,4,5,1,1,1,4,4,4,5,3,1,4,4,1,2,4,3,5,5,2,2,4,5,4,5,3,4,4,3,5,3,"never smoked","drink a lot",3,4,2,2,3,3,5,4,5,3,4,3,1,2,5,5,4,5,1,4,1,4,5,4,2,3,4,2,5,3,2,3,"i am often running late","sometimes",1,4,4,3,4,4,4,3,4,3,4,5,3,5,4,4,1,3,3,4,3,3,3,"few hours a day",4,4,4,2,3,2,4,19,174,60,3,"female","right handed","secondary school","no","city","block of flats"
