id,dep_delayed_15min
0,0.027613973
1,0.057168994
2,0.040986206
3,0.2231605
4,0.25520575
5,0.103516035
6,0.050796308
7,0.20690621
8,0.13287438
9,0.33053303
10,0.21782513
11,0.22633685
12,0.11565202
13,0.15958552
14,0.062135406
15,0.25188705
16,0.06936362
17,0.28994626
18,0.4993332
19,0.013725275
20,0.19103172
21,0.042050306
22,0.28857058
23,0.13357814
24,0.24249882
25,0.30286014
26,0.0144231655
27,0.035709046
28,0.31289595
29,0.14500733
30,0.15108554
31,0.3734106
32,0.021048142
33,0.28185582
34,0.4635776
35,0.30861646
36,0.17111889
37,0.18825434
38,0.08934273
39,0.23889124
40,0.170899
41,0.19126274
42,0.21876635
43,0.30121765
44,0.13834001
45,0.41984168
46,0.0059980126
47,0.21286124
48,0.48589653
49,0.1016991
50,0.4367347
51,0.060492486
52,0.11355168
53,0.4104857
54,0.2565591
55,0.099620946
56,0.22938636
57,0.35119474
58,0.07886268
59,0.31190854
60,0.1990631
61,0.11107276
62,0.20646454
63,0.27970934
64,0.24047592
65,0.15164927
66,0.022584628
67,0.12789425
68,0.15760103
69,0.19477522
70,0.026820885
71,0.18002239
72,0.28979123
73,0.22373907
74,0.52518445
75,0.24787742
76,0.097155206
77,0.13620171
78,0.0777902
79,0.16024993
80,0.18276288
81,0.1744119
82,0.10544745
83,0.13329947
84,0.10436687
85,0.014829788
86,0.10341643
87,0.21870069
88,0.21012293
89,0.16028363
90,0.20706853
91,0.2728792
92,0.18130083
93,0.16647951
94,0.17119968
95,0.13964984
96,0.35040203
97,0.41485208
98,0.18027227
99,0.2742582
100,0.120593645
101,0.17108701
102,0.06694208
103,0.1946331
104,0.014263835
105,0.08536402
106,0.2579893
107,0.07399947
108,0.14802867
109,0.20007059
110,0.19574544
111,0.21049327
112,0.4947294
113,0.025043264
114,0.04277231
115,0.11835852
116,0.1076028
117,0.42928252
118,0.05922607
119,0.1275843
120,0.3053045
121,0.29411528
122,0.19888808
123,0.16297404
124,0.20853497
125,0.053565003
126,0.07816601
127,0.025775589
128,0.11804231
129,0.45398098
130,0.3756159
131,0.1897963
132,0.03448871
133,0.150188
134,0.043040454
135,0.33860502
136,0.22702028
137,0.12950946
138,0.021312142
139,0.09112123
140,0.29068056
141,0.16300307
142,0.28393787
143,0.24232525
144,0.123692214
145,0.256009
146,0.18689561
147,0.26546466
148,0.0980514
149,0.3795817
150,0.42500693
151,0.26623663
152,0.13815224
153,0.12653218
154,0.14724796
155,0.16332552
156,0.237017
157,0.2370477
158,0.31835118
159,0.036524184
160,0.08113459
161,0.31889904
162,0.4664151
163,0.11380258
164,0.13689879
165,0.14512017
166,0.15902686
167,0.016081696
168,0.12845987
169,0.2569296
170,0.18368165
171,0.1933055
172,0.14535217
173,0.20431475
174,0.3237317
175,0.22018352
176,0.1144989
177,0.010096685
178,0.2476289
179,0.17268687
180,0.030904617
181,0.13199277
182,0.24884687
183,0.5040246
184,0.21431853
185,0.29181254
186,0.2979049
187,0.3480418
188,0.24519461
189,0.31225565
190,0.3749813
191,0.32813543
192,0.14492789
193,0.15414351
194,0.15394883
195,0.11815631
196,0.10206705
197,0.115180515
198,0.32327726
199,0.20600168
200,0.1891502
201,0.27068675
202,0.28390098
203,0.018375026
204,0.023246868
205,0.24694893
206,0.5156073
207,0.020034816
208,0.19559777
209,0.22903696
210,0.031425912
211,0.06916169
212,0.22912852
213,0.24347639
214,0.15516628
215,0.16799419
216,0.025767278
217,0.14608638
218,0.19896376
219,0.14436363
220,0.19681922
221,0.2562398
222,0.2856254
223,0.12489261
224,0.28279027
225,0.10803327
226,0.23347117
227,0.32474416
228,0.31522536
229,0.47027704
230,0.019671053
231,0.1565567
232,0.14268921
233,0.36580175
234,0.16284889
235,0.095353805
236,0.012446746
237,0.24453662
238,0.152032
239,0.115719534
240,0.10677292
241,0.26278415
242,0.14133823
243,0.104048654
244,0.22074294
245,0.29180497
246,0.3507448
247,0.60713303
248,0.54695237
249,0.2864259
250,0.2059161
251,0.050816394
252,0.092372954
253,0.12486908
254,0.3863081
255,0.15150782
256,0.12785569
257,0.025490377
258,0.23554343
259,0.016062077
260,0.2570152
261,0.08278575
262,0.33911145
263,0.17495589
264,0.12236754
265,0.21278347
266,0.1997531
267,0.14467384
268,0.25082785
269,0.33266225
270,0.10230977
271,0.1903447
272,0.24942483
273,0.045637038
274,0.29589993
275,0.12602198
276,0.02366259
277,0.23884034
278,0.08875527
279,0.2746186
280,0.15990418
281,0.36900842
282,0.12746902
283,0.044663027
284,0.25165018
285,0.2219979
286,0.14630543
287,0.11988228
288,0.24901032
289,0.056922954
290,0.14395462
291,0.16412905
292,0.3439209
293,0.22191966
294,0.35133982
295,0.031120127
296,0.013417375
297,0.17200118
298,0.15102634
299,0.09910842
300,0.23649627
301,0.2922692
302,0.136334
303,0.23749642
304,0.2429043
305,0.35509682
306,0.1050262
307,0.075007945
308,0.2264494
309,0.23275506
310,0.37508446
311,0.23669027
312,0.039998654
313,0.3110909
314,0.19016801
315,0.14207843
316,0.1324953
317,0.14433546
318,0.27509046
319,0.17950818
320,0.1715713
321,0.070012234
322,0.11188064
323,0.18244833
324,0.11889864
325,0.3385665
326,0.023153098
327,0.15324964
328,0.026443712
329,0.20399773
330,0.19361223
331,0.4958532
332,0.16170168
333,0.11498487
334,0.3358267
335,0.32410443
336,0.19536218
337,0.064825796
338,0.26985413
339,0.05552754
340,0.13750835
341,0.3583543
342,0.1250197
343,0.24450915
344,0.37429863
345,0.49173018
346,0.082688026
347,0.23647563
348,0.14824715
349,0.18170981
350,0.23633914
351,0.110931665
352,0.38129973
353,0.24290591
354,0.15892427
355,0.31174815
356,0.038790096
357,0.15159662
358,0.19684592
359,0.1842685
360,0.17907949
361,0.031120349
362,0.061507042
363,0.25612116
364,0.03800032
365,0.31686836
366,0.5501873
367,0.17822497
368,0.25944516
369,0.15229975
370,0.14134848
371,0.19402581
372,0.28727093
373,0.16789791
374,0.31926835
375,0.066558965
376,0.29289314
377,0.41992137
378,0.22537124
379,0.12704125
380,0.42769998
381,0.24240239
382,0.045799635
383,0.21050423
384,0.115214914
385,0.17289715
386,0.15792242
387,0.03630736
388,0.114517145
389,0.044159636
390,0.27264664
391,0.079881616
392,0.18534891
393,0.017890071
394,0.2462649
395,0.24658167
396,0.013243625
397,0.028375667
398,0.038774867
399,0.06242282
400,0.23957929
401,0.08205834
402,0.1251965
403,0.015335229
404,0.059007645
405,0.055984635
406,0.36920738
407,0.1326241
408,0.31597587
409,0.27711785
410,0.15424317
411,0.010162331
412,0.29806
413,0.16611119
414,0.4722842
415,0.12290791
416,0.31547195
417,0.1635684
418,0.23714624
419,0.445553
420,0.21612583
421,0.067547426
422,0.036275335
423,0.042747702
424,0.33671257
425,0.17268224
426,0.18597946
427,0.2918344
428,0.23844187
429,0.21855892
430,0.35345224
431,0.08835946
432,0.02463169
433,0.1126105
434,0.17901206
435,0.12801379
436,0.25361183
