id,dep_delayed_15min
0,0.040845502
1,0.03379461
2,0.035599533
3,0.19932048
4,0.19582835
5,0.14859726
6,0.0178937
7,0.18552147
8,0.165395
9,0.36701763
10,0.25500867
11,0.15087087
12,0.05885668
13,0.24256793
14,0.071081385
15,0.2838074
16,0.057175543
17,0.3922254
18,0.36998233
19,0.0045473827
20,0.20435989
21,0.026476245
22,0.2048805
23,0.18127783
24,0.29185393
25,0.33917254
26,0.008364076
27,0.020920523
28,0.1489211
29,0.11567553
30,0.17108731
31,0.3815821
32,0.06041242
33,0.32077584
34,0.52604336
35,0.18956362
36,0.18574911
37,0.18590313
38,0.079630144
39,0.19853216
40,0.14934143
41,0.18850328
42,0.16681962
43,0.18085575
44,0.13532527
45,0.3795151
46,0.00073866325
47,0.19066156
48,0.34314567
49,0.11505389
50,0.28414732
51,0.07614693
52,0.09478038
53,0.45871133
54,0.40131035
55,0.1015599
56,0.18267912
57,0.25677687
58,0.11743015
59,0.26317763
60,0.18795756
61,0.072682396
62,0.24261001
63,0.35811514
64,0.17859025
65,0.16535322
66,0.038494766
67,0.12367713
68,0.10903023
69,0.25066188
70,0.022559315
71,0.20654808
72,0.37209216
73,0.1873127
74,0.51500314
75,0.17686997
76,0.08704395
77,0.13011985
78,0.043471742
79,0.08156429
80,0.17026518
81,0.2249178
82,0.08425881
83,0.10975723
84,0.069473214
85,0.0077615944
86,0.08854129
87,0.25493732
88,0.20249027
89,0.19859035
90,0.16007899
91,0.28158614
92,0.104578145
93,0.072221756
94,0.2214151
95,0.1557136
96,0.37724042
97,0.20441462
98,0.17695525
99,0.23277506
100,0.1414465
101,0.20927353
102,0.071453564
103,0.2691317
104,0.009314883
105,0.063076906
106,0.24594417
107,0.058865324
108,0.10585255
109,0.22473904
110,0.25496873
111,0.29199234
112,0.27462342
113,0.016921861
114,0.14019354
115,0.096365124
116,0.104672976
117,0.4944758
118,0.0846292
119,0.15312019
120,0.43739152
121,0.29120344
122,0.19219321
123,0.218748
124,0.21533948
125,0.06364592
126,0.047233626
127,0.0594323
128,0.14151046
129,0.5660865
130,0.4708271
131,0.11334886
132,0.03386184
133,0.24871601
134,0.030557858
135,0.15540731
136,0.38721898
137,0.09635292
138,0.013488267
139,0.11029254
140,0.3474588
141,0.16776167
142,0.32991615
143,0.30685434
144,0.19461706
145,0.2820129
146,0.123124845
147,0.23305674
148,0.111741886
149,0.44866955
150,0.61563814
151,0.24941267
152,0.13937698
153,0.21055265
154,0.22323954
155,0.118470676
156,0.25428942
157,0.17323174
158,0.14951527
159,0.034355156
160,0.057967994
161,0.39775348
162,0.7144978
163,0.12017352
164,0.2851504
165,0.08617699
166,0.08935861
167,0.011095675
168,0.15195397
169,0.29901236
170,0.21344842
171,0.24465068
172,0.12106828
173,0.16171367
174,0.17472255
175,0.22725604
176,0.18873042
177,0.0078028655
178,0.22568619
179,0.1824858
180,0.034762383
181,0.14573556
182,0.12693134
183,0.48674884
184,0.1717171
185,0.37544152
186,0.29306793
187,0.35693827
188,0.20995307
189,0.33723992
190,0.24301225
191,0.32553837
192,0.22841851
193,0.12797226
194,0.12856735
195,0.09707447
196,0.1628563
197,0.09275038
198,0.17747304
199,0.2875666
200,0.17426722
201,0.24953814
202,0.3488739
203,0.01863438
204,0.017578522
205,0.24271329
206,0.50149596
207,0.014244432
208,0.17353448
209,0.13335273
210,0.020455414
211,0.09855122
212,0.15778036
213,0.23093331
214,0.12316357
215,0.17410389
216,0.078938454
217,0.069633126
218,0.27778807
219,0.23263532
220,0.15402777
221,0.30137488
222,0.24619886
223,0.15413718
224,0.3262907
225,0.09528972
226,0.29409215
227,0.32357925
228,0.32240018
229,0.41662183
230,0.03296219
231,0.13655856
232,0.24790038
233,0.16243912
234,0.18692288
235,0.060856417
236,0.01549131
237,0.29379207
238,0.15343647
239,0.09453566
240,0.11340076
241,0.46401516
242,0.12220986
243,0.120895796
244,0.11123675
245,0.4110657
246,0.2596331
247,0.327443
248,0.3500856
249,0.2997027
250,0.16289455
251,0.033470407
252,0.07044129
253,0.13332327
254,0.5565614
255,0.15919909
256,0.12744877
257,0.014975863
258,0.19505598
259,0.006918307
260,0.22767156
261,0.08973291
262,0.29215705
263,0.24184859
264,0.15180539
265,0.27958098
266,0.17271766
267,0.13499029
268,0.1623815
269,0.32938197
270,0.16811083
271,0.18435064
272,0.15317966
273,0.03938082
274,0.3028736
275,0.11989423
276,0.03032026
277,0.26252812
278,0.08073041
279,0.24809025
280,0.17788368
281,0.3653219
282,0.18904765
283,0.047940277
284,0.23636873
285,0.24447012
286,0.20536542
287,0.11384518
288,0.16235898
289,0.050543107
290,0.14260486
291,0.12709004
