id,dep_delayed_15min
0,0.037179492
1,0.03203998
2,0.02146475
3,0.30715126
4,0.22917621
5,0.08893953
6,0.03474115
7,0.1810337
8,0.116009064
9,0.29464522
10,0.21941245
11,0.23757528
12,0.11321108
13,0.22413808
14,0.064352535
15,0.26999202
16,0.061110713
17,0.28296146
18,0.4063555
19,0.004009366
20,0.24208838
21,0.053330652
22,0.3370294
23,0.15875049
24,0.34746596
25,0.3393105
26,0.0074014375
27,0.022192061
28,0.25422403
29,0.107868016
30,0.19714439
31,0.4807033
32,0.026156122
33,0.29492715
34,0.52121896
35,0.3000835
36,0.14518005
37,0.15318294
38,0.07459053
39,0.2276424
40,0.14735757
41,0.21259531
42,0.16470547
43,0.2722137
44,0.13977985
45,0.42142403
46,0.0005436466
47,0.23203135
48,0.615149
49,0.0705715
50,0.40805054
51,0.048658203
52,0.17519651
53,0.46580854
54,0.3798402
55,0.073871896
56,0.20006533
57,0.31247345
58,0.07140345
59,0.34492502
60,0.14424957
61,0.07390855
62,0.18807006
63,0.31888118
64,0.16381326
65,0.15620989
66,0.024754891
67,0.13779695
68,0.13932425
69,0.26837453
70,0.01677148
71,0.2089828
72,0.322966
73,0.29936078
74,0.6612852
75,0.22283374
76,0.0869882
77,0.15175086
78,0.06673198
79,0.1539406
80,0.18342362
81,0.17000882
82,0.07632548
83,0.14020328
84,0.13987145
85,0.010871129
86,0.09359682
87,0.2748108
88,0.28526503
89,0.16152102
90,0.20172112
91,0.26731288
92,0.15098809
93,0.114763804
94,0.13627185
95,0.12680328
96,0.32767355
97,0.28999284
98,0.2666285
99,0.3808385
100,0.10346722
101,0.19763193
102,0.06397439
103,0.2084511
104,0.0024117623
105,0.07308463
106,0.27152726
107,0.048405923
108,0.13107
109,0.19944954
110,0.20805039
111,0.2650244
112,0.4559495
113,0.02637138
114,0.05653716
115,0.104230486
116,0.11684336
117,0.49414694
118,0.09295686
119,0.13130586
120,0.36410886
121,0.23826537
122,0.16224846
123,0.18032545
124,0.20526546
125,0.056952138
126,0.06038917
127,0.035968017
128,0.10703507
129,0.3931085
130,0.518929
131,0.12299002
132,0.04511302
133,0.21161324
134,0.053164523
135,0.31591368
136,0.2454364
137,0.15268643
138,0.018758938
139,0.085264005
140,0.36395246
141,0.18742879
142,0.37874302
143,0.18661115
144,0.12612914
145,0.20968787
146,0.21404554
147,0.2613493
148,0.09298014
149,0.5068909
150,0.51792055
151,0.24962156
152,0.13467117
153,0.2314096
154,0.15586582
155,0.15718313
156,0.25451428
157,0.19635977
158,0.29203844
159,0.03303907
160,0.087641075
161,0.37447986
162,0.605242
163,0.12817794
164,0.19366606
165,0.09863791
166,0.14859816
167,0.005199177
168,0.14705198
169,0.27361777
170,0.20572647
171,0.24767068
172,0.12790515
173,0.13684013
174,0.26978245
175,0.20093085
176,0.13452408
177,0.0074329413
178,0.23910105
179,0.15046899
180,0.01820138
181,0.104779385
182,0.3020256
183,0.44142744
184,0.15673763
185,0.3769942
186,0.301426
187,0.36356947
188,0.26934344
189,0.33689025
190,0.3024758
191,0.34370318
192,0.16681862
193,0.16473599
194,0.13386084
195,0.13387418
196,0.12807254
197,0.10085627
198,0.27378336
199,0.30100223
200,0.22265045
201,0.35364994
202,0.23329887
203,0.020702135
204,0.006183501
205,0.3058879
206,0.48163196
207,0.019950766
208,0.18675534
209,0.2033865
210,0.022747481
211,0.0989418
212,0.19227345
213,0.24607268
214,0.17081319
215,0.15793674
216,0.050774667
217,0.08592054
218,0.17968081
219,0.13258007
220,0.20682377
221,0.22569335
222,0.2976602
223,0.13548495
224,0.36276016
225,0.122613594
226,0.20884727
227,0.3798297
228,0.3119928
229,0.5002793
230,0.021274367
231,0.15415902
232,0.17293827
233,0.3310254
234,0.1631881
235,0.09569171
236,0.0054799165
237,0.27426958
238,0.12096314
239,0.09532818
240,0.17396487
241,0.24587858
242,0.12160555
243,0.11660269
244,0.14912105
245,0.28699487
246,0.32338226
247,0.25695753
248,0.6062005
249,0.34121573
250,0.17948511
251,0.049853347
252,0.08224304
253,0.1491931
254,0.38796565
255,0.19682138
256,0.10976172
257,0.013169904
258,0.2160127
259,0.0021036502
260,0.27511525
261,0.06939398
262,0.38955995
263,0.18411085
264,0.098280475
265,0.20991604
266,0.21949251
267,0.14756526
268,0.1668503
269,0.30314463
270,0.1418833
271,0.2162213
272,0.2439364
273,0.0488299
274,0.34046924
275,0.11428277
276,0.032327108
277,0.27591053
278,0.09023186
279,0.19820425
280,0.1574992
281,0.4036657
282,0.14260781
283,0.060974307
284,0.23094173
285,0.23465714
286,0.18678989
287,0.1323997
288,0.2553252
289,0.05786476
290,0.14053713
291,0.1493465
292,0.3427945
293,0.20636092
294,0.3636078
295,0.039795477
296,0.009021089
297,0.20027947
298,0.12733601
299,0.122402735
300,0.22059523
301,0.24464063
302,0.13587072
303,0.28830352
304,0.21447435
305,0.33279192
306,0.1328131
307,0.05920321
308,0.23123744
309,0.23782286
310,0.34978744
311,0.2810246
312,0.03667314
313,0.27747688
314,0.2536322
315,0.11624289
316,0.10251185
317,0.09381399
318,0.30610937
319,0.17906275
320,0.16330573
321,0.058253337
322,0.10843944
323,0.1814523
324,0.1458037
325,0.32225177
326,0.015607035
327,0.17021272
328,0.027889268
329,0.28307068
330,0.19544077
331,0.48361334
332,0.12618096
333,0.11485572
334,0.474749
335,0.32605958
336,0.20315157
337,0.06570987
338,0.31746018
339,0.04866453
340,0.13879594
341,0.4190128
342,0.1181151
343,0.23225144
344,0.4324731
345,0.6026531
346,0.047360267
347,0.23073696
348,0.10199608
349,0.17528532
350,0.17032416
351,0.116983175
352,0.42898783
353,0.19973913
354,0.16018002
355,0.2947313
356,0.046298068
357,0.07461696
358,0.18602115
359,0.17071195
360,0.15616444
361,0.036546208
362,0.05550465
363,0.29229048
364,0.035621773
365,0.3598666
366,0.5420404
367,0.18359591
368,0.2857708
369,0.14087857
370,0.13441126
371,0.19928983
372,0.3668128
373,0.19161329
374,0.29552135
375,0.061058618
376,0.23584941
377,0.39757016
378,0.16507347
379,0.14061563
380,0.524496
381,0.21435758
382,0.044763334
383,0.24947165
384,0.10586374
385,0.16334595
386,0.17756134
387,0.0371829
388,0.15013754
389,0.0328454
390,0.49955496
391,0.060355466
392,0.1641371
393,0.0018502217
394,0.22123341
395,0.24133477
396,0.008608297
397,0.00774392
398,0.040490735
399,0.054189183
400,0.27266163
401,0.077909924
402,0.15851016
403,0.0010924835
404,0.06406475
405,0.033754654
406,0.35929492
407,0.12355479
408,0.3691924
409,0.26404065
410,0.16595758
411,0.0013258985
412,0.28927907
413,0.14971706
414,0.48751345
415,0.10239239
416,0.37630245
417,0.13774824
418,0.19447964
419,0.49237773
420,0.27325118
421,0.059955932
422,0.012154199
423,0.043401055
424,0.24217117
425,0.19221385
426,0.16711885
427,0.23374511
428,0.2365443
429,0.1325049
430,0.2898487
431,0.07272845
432,0.02469862
433,0.08418733
434,0.17232916
435,0.11253913
436,0.2310251
437,0.45431045
438,0.22498819
439,0.25369063
440,0.1460194
441,0.119555205
442,0.26141182
443,0.23921028
444,0.38694206
445,0.036606066
446,0.25022924
447,0.090834476
448,0.10427979
449,0.18837059
450,0.43349525
451,0.2863698
452,0.2037167
453,0.015062148
454,0.028105173
455,0.05095946
456,0.39436573
457,0.10077556
458,0.14503798
459,0.1879258
460,0.07020762
461,0.040233064
462,0.06851337
463,0.13571107
464,0.22893913
465,0.2270254
466,0.37020922
467,0.07839015
468,0.16443917
469,0.029241804
470,0.017499683
471,0.17205095
472,0.27312315
473,0.3757558
474,0.2575743
475,0.16451985
476,0.03549589
477,0.13991721
478,0.29102647
479,0.33938178
480,0.13264178
481,0.1535504
482,0.1632814
483,0.12518167
484,0.3133326
485,0.10554033
486,0.14373265
487,0.30211854
488,0.055312406
489,0.19003676
490,0.2837462
491,0.6612723
492,0.28687575
493,0.1352032
494,0.29680577
495,0.32194942
496,0.19103162
497,0.023996599
498,0.09162472
499,0.33524138
500,0.51618683
501,0.13294983
502,0.15755701
503,0.124407075
504,0.24994864
505,0.19227864
506,0.47414562
507,0.1337784
508,0.061125774
509,0.22371408
510,0.0986012
511,0.33924353
512,0.6284414
513,0.07575418
514,0.07357639
515,0.23167257
516,0.11034013
517,0.26109147
518,0.15776846
519,0.13849555
520,0.03643238
521,0.3789472
522,0.13970213
523,0.30919504
524,0.13920791
525,0.17077957
526,0.05696888
527,0.017244095
528,0.28118202
529,0.03120581
530,0.13200459
531,0.248957
532,0.13479397
533,0.2847001
534,0.24477564
535,0.2747805
536,0.16488126
537,0.269361
538,0.24884757
539,0.21493828
540,0.39929044
541,0.2268956
542,0.3511441
543,0.6352112
544,0.14621417
545,0.2992429
546,0.034264877
547,0.2601073
548,0.1747028
549,0.4044013
550,0.4840958
551,0.078242525
552,0.1552904
553,0.29732203
554,0.10678016
555,0.32880482
556,0.02098255
557,0.059357427
558,0.19845156
559,0.06797131
560,0.098524086
561,0.10063498
562,0.3349945
563,0.23350818
564,0.0511294
565,0.2946293
566,0.10633018
567,0.35934055
568,0.13033509
569,0.021860998
570,0.3389692
571,0.033408858
572,0.16842283
573,0.41963586
574,0.22503679
575,0.02657328
576,0.0079141995
577,0.06753255
578,0.07003806
579,0.50549394
580,0.11366406
581,0.5133035
582,0.23311381
583,0.30343968
584,0.37091723
585,0.3033115
586,0.2722748
587,0.17816299
588,0.29787543
589,0.39145955
590,0.35520673
591,0.17949286
592,0.16379121
593,0.06014454
594,0.08076941
595,0.33864254
596,0.13853444
597,0.21434002
598,0.22085331
599,0.3113699
600,0.030798556
601,0.089850135
602,0.57320803
603,0.068355575
604,0.019121103
605,0.2660187
606,0.06066508
607,0.044822987
608,0.30294552
609,0.30100363
610,0.41544232
611,0.019020537
612,0.103736766
613,0.19233167
614,0.08322632
615,0.13759005
616,0.08900828
617,0.091202155
618,0.30023348
619,0.12887488
620,0.4876316
621,0.42314777
622,0.01814249
623,0.03535064
624,0.004498474
625,0.28739256
626,0.21184203
627,0.53538626
628,0.38808104
629,0.17237535
630,0.31828925
631,0.1117345
632,0.161562
633,0.1058783
634,0.24237639
635,0.33805826
636,0.26571497
637,0.047526512
638,0.3533647
639,0.061805468
640,0.05737842
641,0.36760432
642,0.17561808
643,0.2879793
644,0.36798665
645,0.44748425
646,0.44182178
647,0.14641063
648,0.05663305
649,0.0011335334
650,0.18733746
651,0.07453551
652,0.1611937
653,0.19457586
654,0.191662
655,0.20192187
656,0.1388961
657,0.13964948
658,0.29370216
659,0.07933085
660,0.034719706
661,0.19154032
662,0.23626849
663,0.22514695
664,0.3342235
665,0.09063689
666,0.237139
667,0.03775977
668,0.1325858
669,0.26570413
670,0.052221864
671,0.32631364
672,0.29688355
673,0.9157425
674,0.025643408
675,0.3144324
676,0.2504836
677,0.49380273
678,0.21384646
679,0.1372242
680,0.09193124
681,0.06320194
682,0.26478642
683,0.044919714
684,0.08684463
685,0.31135893
686,0.23422062
687,0.048587024
688,0.58013296
689,0.16292849
690,0.4742365
691,0.07167105
692,0.038810216
693,0.23664503
694,0.10072184
695,0.14728196
696,0.14597636
697,0.48488224
698,0.3642
699,0.14967608
700,0.12738048
701,0.15561724
702,0.12188161
703,0.41467375
704,0.36440393
705,0.1940281
706,0.17485079
707,0.35814828
708,0.1812871
709,0.2974348
710,0.28273997
711,0.111061744
712,0.21266559
713,0.7432408
714,0.15388002
715,0.33162472
716,0.3232221
717,0.100891255
718,0.25851834
719,0.06376317
720,0.1769423
721,0.20025335
722,0.2044007
723,0.06121383
724,0.33132985
725,0.32489842
726,0.2217759
727,0.16916203
728,0.100915544
729,0.0437354
730,0.15356997
731,0.24432604
732,0.22234422
733,0.38060814
734,0.025362099
735,0.1659094
736,0.007598132
737,0.056960672
738,0.2876095
739,0.119221665
740,0.39750943
741,0.33877653
742,0.3426923
743,0.01066789
744,0.07366374
745,0.06303807
746,0.23190339
747,0.3580742
748,0.2380764
749,0.13615021
750,0.27001408
751,0.30890435
752,0.111125804
753,0.17212252
754,0.20433418
755,0.05131377
756,0.095823474
757,0.092687376
758,0.49493816
759,0.4059853
760,0.06021472
761,0.19663532
762,0.012509511
763,0.16731118
764,0.5273739
765,0.29591262
766,0.06979361
767,0.23437874
768,0.5383314
769,0.16335964
770,0.19511743
771,0.16910714
772,0.120858476
773,0.32884708
774,0.35148546
775,0.09724856
776,0.111398116
777,0.26877993
778,0.21581367
779,0.3654807
780,0.044649508
781,0.20869584
782,0.5365895
783,0.21724531
784,0.15265258
785,0.026852809
786,0.38802692
787,0.17023768
788,0.25389487
789,0.035440367
790,0.3058441
791,0.47351798
792,0.084806286
793,0.10055441
794,0.11668186
795,0.6081931
796,0.010069894
797,0.0813984
798,0.0847556
799,0.004509262
800,0.092902415
801,0.047367755
802,0.18348992
803,0.04266571
804,0.29482976
805,0.23347928
806,0.36456057
807,0.004042944
808,0.09208274
809,0.12021452
810,0.06410753
811,0.16205461
812,0.09969124
813,0.2500285
814,0.23886356
815,0.16421194
816,0.2028963
817,0.13425486
818,0.18485591
819,0.28456602
820,0.026729403
821,0.17573383
822,0.21116364
823,0.1481707
824,0.25100288
825,0.0013941407
826,0.14495246
827,0.27526093
828,0.081374384
829,0.01778852
830,0.12676366
831,0.13587941
832,0.51049805
833,0.27760488
834,0.14798732
835,0.0565702
836,0.22851805
837,0.30706683
838,0.16087168
839,0.7424787
840,0.27854145
841,0.12260663
842,0.17590779
843,0.27256644
844,0.45646673
845,0.019643417
846,0.23555547
847,0.25665486
848,0.06484194
849,0.08417531
850,0.23467174
851,0.09212533
852,0.056598704
853,0.2121751
854,0.06828462
855,0.017041795
856,0.12896928
857,0.2017031
858,0.39121407
859,0.22987849
860,0.28606313
861,0.22479147
862,0.015177007
863,0.38651404
864,0.060503878
865,0.1281136
866,0.15235436
867,0.11563147
868,0.1572254
869,0.06277731
870,0.3224722
871,0.12775534
872,0.0018026945
873,0.044451173
874,0.34428996
875,0.123213574
876,0.019896664
877,0.15711324
878,0.27198556
879,0.23000255
880,0.29053068
881,0.03498015
882,0.044463594
883,0.14754805
884,0.1915962
885,0.20484029
886,0.56361175
887,0.09406304
888,0.7396248
889,0.06714268
890,0.15920706
891,0.08354906
892,0.12239696
893,0.11321728
894,0.11506496
895,0.2413719
896,0.05482818
897,0.18950227
898,0.2214109
899,0.5929415
900,0.17725731
901,0.13152306
902,0.100790985
903,0.11673421
904,0.10506642
905,0.19152543
906,0.3754886
907,0.1761629
908,0.09404493
909,0.07498294
910,0.044140883
911,0.44167185
912,0.020764051
913,0.23286475
914,0.08506517
915,0.14306621
916,0.61256784
917,0.2016751
918,0.24695896
919,0.11777943
920,0.041836664
921,0.28624246
922,0.2510568
923,0.48559645
924,0.23281868
925,0.38413447
926,0.03111449
927,0.11982625
928,0.303056
929,0.69295007
930,0.035018057
931,0.19558479
932,0.07500287
933,0.013701046
934,0.35934612
935,0.023848396
936,0.24642088
937,0.04560459
938,0.0051116263
939,0.12629521
940,0.17833346
941,0.18053432
942,0.19453724
943,0.3759212
944,0.064277075
945,0.053724132
946,0.19931778
947,0.10640449
948,0.3262883
949,0.14993973
950,0.22997746
951,0.28901893
952,0.27591762
953,0.064254984
954,0.12963794
955,0.17264748
956,0.1676024
957,0.25957254
958,0.5201092
959,0.13553247
960,0.4370775
961,0.23494375
962,0.1787095
963,0.10092526
964,0.095031016
965,0.44766933
966,0.2666029
967,0.2771764
968,0.44071573
969,0.24047197
970,0.19328663
971,0.31323346
972,0.0466216
973,0.3805757
974,0.1642747
975,0.0337583
976,0.19592394
977,0.10342965
978,0.15972282
979,0.018608887
980,0.16419497
981,0.02339112
982,0.15420051
983,0.14229137
984,0.14992708
985,0.30342782
986,0.02916942
987,0.13808316
988,0.3456334
989,0.07755331
990,0.31777552
991,0.054671034
992,0.24520814
993,0.054755103
994,0.3100018
995,0.21175036
996,0.04942221
997,0.07741056
998,0.24058124
999,0.10061808
1000,0.2350113
1001,0.40292042
1002,0.17654751
1003,0.14555521
1004,0.07337885
1005,0.14410059
1006,0.4378016
1007,0.19643982
1008,0.12151486
1009,0.48477054
1010,0.1856861
1011,0.0841345
1012,0.16314408
1013,0.019576948
1014,0.14405417
1015,0.18558894
1016,0.0657217
1017,0.3046661
1018,0.055658236
1019,0.27440453
1020,0.38726774
1021,0.04340937
1022,0.035411943
1023,0.24402352
1024,0.13704418
1025,0.092405595
1026,0.18629684
1027,0.13683356
1028,0.016771378
1029,0.2480151
1030,0.3831483
1031,0.18377297
1032,0.15526411
1033,0.118159264
1034,0.036330484
1035,0.16545042
1036,0.06619385
1037,0.022295576
1038,0.3082888
1039,0.25475147
1040,0.14088368
1041,0.040321328
1042,0.15688242
1043,0.34213158
1044,0.18275017
1045,0.18103749
1046,0.11514207
1047,0.10074335
1048,0.0013684663
1049,0.29424614
