id,dep_delayed_15min
0,0.041366022
1,0.04129875
2,0.031607207
3,0.26280212
4,0.23221405
5,0.097898915
6,0.02894658
7,0.19254802
8,0.12389568
9,0.2972457
10,0.28065646
11,0.26343694
12,0.13280706
13,0.1611594
14,0.06643027
15,0.2732136
16,0.054100722
17,0.34203625
18,0.44423497
19,0.003896738
20,0.28112662
21,0.03823529
22,0.37050778
23,0.119916715
24,0.31971714
25,0.32609633
26,0.021395754
27,0.03028144
28,0.30390108
29,0.11809424
30,0.15641464
31,0.46929106
32,0.023044
33,0.28230047
34,0.5070346
35,0.30643776
36,0.16853929
37,0.1734987
38,0.06659128
39,0.23711899
40,0.17199366
41,0.18476479
42,0.15067318
43,0.2481546
44,0.112204626
45,0.5299839
46,0.0011727276
47,0.21363476
48,0.46779668
49,0.06450726
50,0.40764445
51,0.05170822
52,0.19346373
53,0.45910224
54,0.37232274
55,0.07702148
56,0.20435378
57,0.29380453
58,0.08438108
59,0.3023318
60,0.12195186
61,0.0708165
62,0.18062046
63,0.27303183
64,0.18478589
65,0.16040869
66,0.028040966
67,0.15032731
68,0.14026657
69,0.29294744
70,0.020795466
71,0.2323049
72,0.3120191
73,0.33456057
74,0.58853567
75,0.2227385
76,0.09363146
77,0.15450044
78,0.08448166
79,0.14525814
80,0.1651892
81,0.16902171
82,0.067615
83,0.16049235
84,0.14661573
85,0.020075493
86,0.09558823
87,0.23338225
88,0.3202431
89,0.19927962
90,0.19619252
91,0.22794233
92,0.14568762
93,0.12769704
94,0.18544887
95,0.13007349
96,0.32876876
97,0.19300671
98,0.21058978
99,0.32411262
100,0.07235867
101,0.17392232
102,0.07008223
103,0.210463
104,0.0022277664
105,0.057742883
106,0.27771118
107,0.051832292
108,0.1509625
109,0.19746365
110,0.19622725
111,0.2106015
112,0.44895056
113,0.024267245
114,0.04889953
115,0.114203736
116,0.11819061
117,0.46942657
118,0.07093546
119,0.1285413
120,0.42192248
121,0.27547535
122,0.19616893
123,0.17638084
124,0.23816864
125,0.039732236
126,0.061027255
127,0.02660966
128,0.12944956
129,0.5329863
130,0.5440646
131,0.1421163
132,0.028660784
133,0.20123714
134,0.036579978
135,0.37653744
136,0.23658976
137,0.09570475
138,0.018300112
139,0.09316048
140,0.34878677
141,0.15411545
142,0.31166464
143,0.21349305
144,0.13760482
145,0.19586228
146,0.24402916
147,0.25509956
148,0.082999334
149,0.57931495
150,0.48443952
151,0.24386033
152,0.13126303
153,0.17788574
154,0.14651026
155,0.14795804
156,0.2714566
157,0.1989552
158,0.27466223
159,0.036409106
160,0.07893063
161,0.4017223
162,0.5976833
163,0.11209351
164,0.24639519
165,0.092822164
166,0.15642245
167,0.011251423
168,0.16601394
169,0.27354106
170,0.23489034
171,0.22131902
172,0.13444822
173,0.16615854
174,0.26106137
175,0.18532462
176,0.10769963
177,0.0059935227
178,0.22386762
179,0.19304655
180,0.023056637
181,0.10011722
182,0.3334197
183,0.5656837
184,0.1588539
185,0.3721675
186,0.31304085
187,0.36473557
188,0.27292505
189,0.33290982
190,0.26750103
191,0.36443365
192,0.21543176
193,0.16474034
194,0.13199238
195,0.11359444
196,0.111997075
197,0.08561602
198,0.30667895
199,0.37246674
200,0.2384298
201,0.24805638
202,0.23908024
203,0.01457844
204,0.049073726
205,0.2761388
206,0.4563111
207,0.0139413215
208,0.19045675
209,0.19151527
210,0.023469646
211,0.0649665
212,0.19090007
213,0.26650706
214,0.14593485
215,0.15337199
216,0.08013152
217,0.09786756
218,0.1950485
219,0.1478194
220,0.18703435
221,0.25345472
222,0.35328275
223,0.1336666
224,0.35774127
225,0.12432638
226,0.2034039
227,0.37203935
228,0.31207404
229,0.47470033
230,0.024899857
231,0.18103082
232,0.17120232
233,0.29674107
234,0.17206588
235,0.09282146
236,0.0057523707
237,0.269186
238,0.114823
239,0.07188697
240,0.16817012
241,0.293072
242,0.1353404
243,0.05367741
244,0.20464462
245,0.28450322
246,0.31114534
247,0.38522652
248,0.54079145
249,0.29078147
250,0.18417203
251,0.044251055
252,0.082558386
253,0.1159318
254,0.39940915
255,0.22868948
256,0.10685695
257,0.021134704
258,0.20230423
259,0.004396248
260,0.29748657
261,0.07664936
262,0.36393383
263,0.18731439
264,0.08828484
265,0.1948914
266,0.23470709
267,0.13084866
268,0.17180611
269,0.29874137
270,0.06465379
271,0.24869512
272,0.21614648
273,0.03214824
274,0.33506024
275,0.08696352
276,0.038559068
277,0.2496814
278,0.10626596
279,0.23175877
280,0.16915403
281,0.39801934
282,0.12334569
283,0.07630732
284,0.23588085
285,0.21723811
286,0.21649657
287,0.15945055
288,0.2594155
289,0.03986505
290,0.13106267
291,0.11750328
292,0.3727739
293,0.21405107
294,0.38440058
295,0.04203501
296,0.025495406
297,0.17609386
298,0.1637783
299,0.1972118
300,0.22680613
301,0.237014
302,0.091711156
303,0.2871741
304,0.21126752
305,0.33990896
306,0.11652305
307,0.037616298
308,0.23814964
309,0.28705725
310,0.35141817
311,0.2486996
312,0.04079139
313,0.29838124
314,0.1934246
315,0.10023723
316,0.10142288
317,0.10549127
318,0.2882042
319,0.18166368
320,0.17509401
321,0.06159036
322,0.112203084
323,0.16860116
324,0.14432043
325,0.34750673
326,0.038019918
327,0.16430545
328,0.016352266
329,0.2974909
330,0.22374392
331,0.463684
332,0.36410135
333,0.09373174
334,0.44486573
335,0.35110494
336,0.21957333
337,0.065190375
338,0.328249
339,0.033921003
340,0.13356659
341,0.40871608
342,0.113589436
343,0.29167858
344,0.47302765
345,0.57894623
346,0.057047937
347,0.21947527
348,0.110650696
349,0.1706717
350,0.19060804
351,0.120792806
352,0.39743647
353,0.19413759
354,0.16206564
355,0.28138864
356,0.05121526
357,0.025174223
358,0.18459852
359,0.17049268
360,0.15422651
361,0.029098859
362,0.051199917
363,0.35115016
364,0.04854484
365,0.389718
366,0.5279477
367,0.18200351
368,0.2772657
369,0.15731362
370,0.09443078
371,0.22194335
372,0.2995644
373,0.19624148
374,0.3082243
375,0.058465548
376,0.25287366
377,0.42152232
378,0.17891723
379,0.15611133
380,0.5452137
381,0.2143136
382,0.03700463
383,0.2335226
384,0.124305196
385,0.17235771
386,0.17183225
387,0.028623216
388,0.14246242
389,0.044948146
390,0.4990153
391,0.060944885
392,0.14632906
393,0.0021846562
394,0.24670014
395,0.22653449
396,0.026229238
397,0.016431013
398,0.044471283
399,0.05195677
400,0.274485
401,0.0638777
402,0.18402195
403,0.0014120741
404,0.055553954
405,0.035556775
406,0.36199874
407,0.102049775
408,0.35690764
409,0.30393192
410,0.16949925
411,0.0032453449
412,0.26825368
413,0.14812037
414,0.4503703
415,0.108587496
416,0.3390886
417,0.1300655
418,0.19327024
419,0.5034102
420,0.2392493
421,0.042473122
422,0.028330076
423,0.032790784
424,0.2633321
425,0.17102832
426,0.17411275
427,0.18478161
428,0.21362545
429,0.37153634
430,0.29162368
431,0.08790348
432,0.02010179
433,0.08130063
434,0.18586673
435,0.07205599
436,0.23580043
437,0.50008804
438,0.23662874
439,0.2673743
440,0.12826242
441,0.1280895
442,0.24910267
443,0.19309945
444,0.44058076
445,0.07737848
446,0.2663608
447,0.07545765
448,0.093855806
449,0.18724059
450,0.46570385
451,0.2431295
452,0.19302532
453,0.040662017
454,0.033293534
455,0.0340776
456,0.39244935
457,0.0903473
458,0.1400673
459,0.16992742
460,0.060213294
461,0.034069914
462,0.04710762
463,0.14638926
464,0.22564885
465,0.18803355
466,0.37608954
467,0.10012553
468,0.14645621
469,0.048022352
470,0.010636321
471,0.16143858
472,0.28778192
473,0.42477354
474,0.28073764
475,0.16474855
476,0.032185376
477,0.1580835
478,0.30080888
479,0.36802357
480,0.08655192
481,0.17672174
482,0.1603686
483,0.13105044
484,0.2883293
485,0.13311958
486,0.1740549
487,0.27838027
488,0.07565757
489,0.1956364
490,0.28932407
491,0.6340003
492,0.29183573
493,0.13211347
494,0.26866445
495,0.34718895
496,0.20168155
497,0.022491388
498,0.045400873
499,0.29656634
500,0.47341475
501,0.103376575
502,0.18338133
503,0.1121821
504,0.25255316
505,0.22888187
506,0.46519765
507,0.11818558
508,0.053091373
509,0.18250678
510,0.09546358
511,0.3369288
512,0.6340988
513,0.09687811
514,0.1357668
515,0.22569446
516,0.099825144
517,0.24418072
518,0.15618065
519,0.17325814
520,0.024250261
521,0.38179493
522,0.12646271
523,0.3438943
524,0.12616985
525,0.15254374
526,0.07330058
527,0.031818993
528,0.27122387
529,0.029446868
530,0.12195714
531,0.17777668
532,0.2241665
533,0.24393164
534,0.2413156
535,0.25085464
536,0.18449287
537,0.2494688
538,0.21725656
539,0.23308809
540,0.40820286
541,0.30692664
542,0.36705375
543,0.7171074
544,0.10176146
545,0.29665974
546,0.043396935
547,0.25248754
548,0.18150802
549,0.4350841
550,0.40873256
551,0.09921715
552,0.1294522
553,0.2513537
554,0.10554651
555,0.33841747
556,0.018624844
557,0.07296875
558,0.16970684
559,0.047532402
560,0.12009287
561,0.0788546
562,0.2754527
563,0.22365053
564,0.032063268
565,0.31641996
566,0.08579148
567,0.37069517
568,0.1203341
569,0.020074349
570,0.35150123
571,0.021398729
572,0.17767236
573,0.43278778
574,0.23039046
575,0.072527915
576,0.006026917
577,0.056239445
578,0.06930111
579,0.48016834
580,0.1027108
581,0.55728686
582,0.25277397
583,0.31749764
584,0.35033017
585,0.24478495
586,0.27890682
587,0.1835921
588,0.2499659
589,0.36274034
590,0.34305283
591,0.14911483
592,0.18570952
593,0.04645033
594,0.06951576
595,0.3565312
596,0.115593
597,0.21574499
598,0.21045943
599,0.3185622
600,0.024858559
601,0.10108596
602,0.55977017
603,0.07940098
604,0.024415018
605,0.34157196
606,0.043805365
607,0.03368375
608,0.33495495
609,0.31508735
610,0.408213
611,0.024814032
612,0.120103516
613,0.1605265
614,0.07877689
615,0.15740056
616,0.09617104
617,0.101810195
618,0.31998327
619,0.14195666
620,0.4450121
621,0.44808266
622,0.016367773
623,0.03087252
624,0.008214556
625,0.22347371
626,0.21234879
627,0.5253641
628,0.37043738
629,0.18349606
630,0.34648436
631,0.12164504
632,0.16291204
633,0.12920852
634,0.2301706
635,0.31140345
636,0.27270308
637,0.04809139
638,0.32585615
639,0.08034527
640,0.06959517
641,0.40575606
642,0.14925419
643,0.3329941
644,0.35692292
645,0.48896098
646,0.40371266
647,0.135064
648,0.035717223
649,0.0023972085
650,0.13705893
651,0.07613541
652,0.1719909
653,0.15412803
654,0.1569241
655,0.20739117
656,0.14409205
657,0.10243482
658,0.2895929
659,0.08611728
660,0.042016685
661,0.22052719
662,0.20834905
663,0.27237082
664,0.29574725
665,0.08808131
666,0.27238113
667,0.033596814
668,0.13664122
669,0.29066426
670,0.06602143
671,0.31040037
672,0.34036684
673,0.88118184
674,0.07766512
675,0.37756246
676,0.25155222
677,0.49951875
678,0.14313437
679,0.11479966
680,0.0900797
681,0.05133947
682,0.30825555
683,0.04785169
684,0.083056405
685,0.31297883
686,0.22225076
687,0.05004584
688,0.6216427
689,0.18594007
690,0.45662844
691,0.063551456
692,0.049152043
693,0.19835916
694,0.10061873
695,0.14920981
696,0.15407331
697,0.4843964
698,0.40677053
699,0.17090102
700,0.16215137
701,0.15002401
702,0.11870042
703,0.45825484
704,0.30593237
705,0.18890572
706,0.1536403
707,0.35214618
