iter	Passed	Remaining
0	21	21020
1	45	22605
2	69	23015
3	86	21637
4	108	21605
5	130	21598
6	152	21626
7	163	20234
8	172	18940
9	192	19075
10	204	18422
11	213	17555
12	225	17112
13	245	17317
14	257	16901
15	266	16376
16	287	16595
17	300	16402
18	319	16519
19	333	16364
20	348	16242
21	359	15971
22	368	15648
23	385	15686
24	409	15954
25	419	15720
26	439	15844
27	462	16057
28	474	15876
29	494	16003
30	517	16161
31	533	16150
32	546	16002
33	554	15759
34	578	15952
35	601	16101
36	623	16218
37	640	16207
38	660	16277
39	684	16422
40	698	16339
41	707	16129
42	728	16209
43	754	16391
44	768	16315
45	791	16410
46	818	16597
47	845	16763
48	871	16908
49	897	17046
50	923	17184
51	944	17210
52	961	17171
53	987	17302
54	1010	17353
55	1041	17555
56	1073	17765
57	1095	17798
58	1123	17920
59	1152	18062
60	1165	17936
61	1190	18005
62	1216	18086
63	1244	18202
64	1267	18237
65	1280	18122
66	1302	18142
67	1314	18018
68	1330	17949
69	1356	18016
70	1381	18074
71	1404	18098
72	1427	18124
73	1449	18140
74	1472	18162
75	1496	18194
76	1509	18088
77	1531	18097
78	1544	18005
79	1559	17939
80	1573	17855
81	1594	17853
82	1617	17870
83	1639	17882
84	1653	17794
85	1674	17795
86	1700	17845
87	1723	17866
88	1741	17829
89	1762	17820
90	1774	17723
91	1784	17616
92	1806	17618
93	1823	17575
94	1840	17532
95	1862	17533
96	1887	17571
97	1904	17525
98	1923	17510
99	1947	17528
100	1970	17537
101	1987	17501
102	2010	17506
103	2034	17526
104	2059	17558
105	2084	17580
106	2106	17581
107	2119	17507
108	2141	17508
109	2151	17408
110	2172	17403
111	2196	17412
112	2218	17410
113	2249	17486
114	2265	17432
115	2277	17352
116	2298	17348
117	2322	17356
118	2344	17356
119	2360	17310
120	2380	17292
121	2390	17201
122	2405	17151
123	2427	17148
124	2452	17170
125	2476	17181
126	2499	17184
127	2521	17178
128	2544	17179
129	2566	17178
130	2588	17172
131	2615	17200
132	2639	17206
133	2663	17213
134	2680	17173
135	2702	17167
136	2719	17128
137	2739	17113
138	2761	17104
139	2773	17035
140	2781	16947
141	2804	16948
142	2827	16942
143	2849	16936
144	2870	16928
145	2884	16871
146	2892	16783
147	2900	16699
148	2920	16681
149	2944	16683
150	2955	16615
151	2980	16627
152	2997	16595
