reg_id,full_name,name,category,address
330000087,Пляж общества с ограниченной ответственностью Санаторий «Мечта»,Пляж ООО Санаторий «Мечта»,желтый флаг (3 категория),"353456, Краснодарский край, г. Анапа, Пионерский проспект, 25"
330000089,"пляж ""Оздоровительного комплекса ""Орбита"" АО ""ОК ""Орбита""","пляж ""Оздоровительного комплекса ""Орбита""",зеленый флаг (2 категория),"352840,Туапсинский район, с.Ольгинка, оздоровительный комплекс ""Орбита"""
330000091,Пляж «Ривьера Санрайз» (Riviera Sunrise Resort & SPA) Гостиничного комплекса «Крымская Ривьера» Филиала Общества с ограниченной ответственностью «Кронос» Гостиничный комплекс «Крымская Ривьера»,Пляж «Ривьера Санрайз» (Riviera Sunrise Resort & SPA) Гостиничного комплекса «Крымская Ривьера» Филиал ООО «Кронос,синий флаг (1 категория),"298500, Республика Крым, г. Алушта, ул. Ленина, 2"
330000095,Пляж пансионата «Бургас» АО «Пансионат «Бургас»,Пляж пансионата «Бургас» ,зеленый флаг (2 категория),"354364, Краснодарский край, г. Сочи, ул. Ленина, 233"
330000096,Пляж Открытого акционерного общества «Санаторий «Южное взморье»,Пляж ОАО «Санаторий «Южное взморье»,синий флаг (1 категория),"354340, Краснодарский край, г. Сочи, ул. Калинина, 1"
330000097,Пляж «Бархатные сезоны» непубличного акционерного общества «Центр «Омега»,Пляж «бархатные сезоны» НАО «Центр «Омега»,синий флаг (1 категория),"354340, Краснодарский край, г. Сочи, Адлерский район, береговая зона"
330000098,Лечебный пляж закрытого акционерного общества «Санаторий «Белые ночи»,Лечебный пляж ЗАО «Санаторий «Белые ночи»,зеленый флаг (2 категория),"354214, Краснодарский край, г. Сочи, ул. Семашко, д.37а"
330000100,Пляж детского оздоровительного лагеря «Альбатрос» Краснодарского краевого благотворительного общественного фонда «Альбатрос»,Пляж детского оздоровительного лагеря «Альбатрос» Краснодарского краевого благотворительного общественного фонда «Альбатрос»,желтый флаг (3 категория),"353480, Краснодарский край, г.Геленджик, с.Кабардинка, ул.Революционная, 93"
330000101,"Пляж ФГБУ ""Дом отдыха ""Туапсе"" Управления делами Президента Российской Федерации","Пляж ФГБУ ""Дом отдыха ""Туапсе"" Управления делами Президента Российской Федерации",зеленый флаг (2 категория),"352844, Краснодарский край, Туапсинский район, с. Бжид, Голубая бухта"
330000102,"Пляж базы отдыха ""Искра"" ПАО ""Межрегиональная распределительная сетевая компания ""Юга""","Пляж базы отдыха ""Искра""",желтый флаг (3 категория),"353480,  г.Геленджик, с.Кабардинка, ул.Мира,12"
330000076,Пляж ФГБУ «Объединенный санаторий «Русь» Федерального государственного бюджетного учреждения «Объединенный санаторий «Русь» Управления делами Президента Российской Федерации,Пляж ФГБУ «Объединенный санаторий «Русь»,синий флаг (1 категория),"354008, Краснодарский край, г. Сочи, ул. Политехническая, 22"
330000077," Пляж Санатория ""Огонек"" общество с ограниченной ответственностью «Санаторий «Огонек»"," Пляж Санатория ""Огонек"" ",желтый флаг (3 категория),"353417,.Анапа, просп.Пионерский, пляжная территория в квартале №23:37:0107003"
